date,Aroon Down,Aroon Up
2010-01-04,0.0,15.7025
2010-01-05,0.0,14.876
2010-01-06,0.0,14.0496
2010-01-07,0.0,13.2231
2010-01-08,0.0,12.3967
2010-01-11,0.0,11.5702
2010-01-12,0.8264,10.7438
2010-01-13,0.0,9.9174
2010-01-14,0.0,9.0909
2010-01-15,0.0,8.2645
2010-01-19,0.0,7.438
2010-01-20,0.0,6.6116
2010-01-21,100.0,5.7851
2010-01-22,100.0,4.9587
2010-01-25,100.0,4.1322
2010-01-26,100.0,3.3058
2010-01-27,99.1736,2.4793
2010-01-28,98.3471,1.6529
2010-01-29,97.5207,0.8264
2010-02-01,96.6942,0.0
2010-02-02,95.8678,0.0
2010-02-03,95.0413,91.7355
2010-02-04,94.2149,90.9091
2010-02-05,93.3884,90.0826
2010-02-08,92.562,89.2562
2010-02-09,91.7355,88.4298
2010-02-10,90.9091,87.6033
2010-02-11,90.0826,86.7769
2010-02-12,89.2562,85.9504
2010-02-16,88.4298,85.124
2010-02-17,87.6033,84.2975
2010-02-18,86.7769,83.4711
2010-02-19,85.9504,82.6446
2010-02-22,85.124,81.8182
2010-02-23,84.2975,80.9917
2010-02-24,83.4711,80.1653
2010-02-25,82.6446,79.3388
2010-02-26,81.8182,78.5124
2010-03-01,80.9917,77.686
2010-03-02,80.1653,76.8595
2010-03-03,79.3388,76.0331
2010-03-04,78.5124,75.2066
2010-03-05,77.686,74.3802
2010-03-08,76.8595,73.5537
2010-03-09,76.0331,72.7273
2010-03-10,75.2066,71.9008
2010-03-11,74.3802,71.0744
2010-03-12,73.5537,70.2479
2010-03-15,72.7273,69.4215
2010-03-16,71.9008,68.595
2010-03-17,71.0744,67.7686
2010-03-18,70.2479,66.9421
2010-03-19,69.4215,66.1157
2010-03-22,68.595,65.2893
2010-03-23,67.7686,64.4628
2010-03-24,66.9421,63.6364
2010-03-25,66.1157,62.8099
2010-03-26,65.2893,61.9835
2010-03-29,64.4628,61.157
2010-03-30,63.6364,60.3306
2010-03-31,62.8099,59.5041
2010-04-01,61.9835,58.6777
2010-04-05,61.157,57.8512
2010-04-06,60.3306,57.0248
2010-04-07,59.5041,56.1983
2010-04-08,58.6777,55.3719
