date,Aroon Up,Aroon Down
2010-01-04,7.5,62.5
2010-01-05,5.0,60.0
2010-01-06,2.5,57.5
2010-01-07,0.0,55.0
2010-01-08,22.5,52.5
2010-01-11,20.0,50.0
2010-01-12,17.5,47.5
2010-01-13,15.0,45.0
2010-01-14,12.5,42.5
2010-01-15,10.0,100.0
2010-01-19,7.5,97.5
2010-01-20,100.0,95.0
2010-01-21,97.5,100.0
2010-01-22,95.0,100.0
2010-01-25,92.5,100.0
2010-01-26,90.0,100.0
2010-01-27,87.5,97.5
2010-01-28,85.0,95.0
2010-01-29,82.5,92.5
2010-02-01,80.0,90.0
2010-02-02,77.5,87.5
2010-02-03,75.0,85.0
2010-02-04,72.5,82.5
2010-02-05,70.0,80.0
2010-02-08,67.5,77.5
2010-02-09,65.0,75.0
2010-02-10,62.5,72.5
2010-02-11,60.0,70.0
2010-02-12,57.5,67.5
2010-02-16,55.0,65.0
2010-02-17,52.5,62.5
2010-02-18,50.0,60.0
2010-02-19,47.5,57.5
2010-02-22,45.0,55.0
2010-02-23,42.5,52.5
2010-02-24,40.0,50.0
2010-02-25,37.5,47.5
2010-02-26,35.0,45.0
2010-03-01,32.5,42.5
2010-03-02,30.0,40.0
2010-03-03,27.5,37.5
2010-03-04,25.0,35.0
2010-03-05,22.5,32.5
2010-03-08,20.0,30.0
2010-03-09,17.5,27.5
2010-03-10,15.0,25.0
2010-03-11,12.5,22.5
2010-03-12,10.0,20.0
2010-03-15,7.5,17.5
2010-03-16,5.0,15.0
2010-03-17,2.5,12.5
2010-03-18,0.0,10.0
2010-03-19,77.5,7.5
2010-03-22,75.0,5.0
2010-03-23,72.5,2.5
2010-03-24,70.0,0.0
2010-03-25,67.5,0.0
2010-03-26,65.0,15.0
2010-03-29,62.5,12.5
2010-03-30,60.0,10.0
2010-03-31,57.5,7.5
2010-04-01,55.0,5.0
2010-04-05,52.5,2.5
2010-04-06,50.0,0.0
2010-04-07,47.5,0.0
2010-04-08,45.0,0.0
2010-04-09,42.5,2.5
2010-04-12,40.0,0.0
2010-04-13,37.5,0.0
2010-04-14,35.0,2.5
2010-04-15,32.5,0.0
2010-04-16,30.0,100.0
2010-04-19,27.5,97.5
