date,CCI
2010-01-04,87.2563
2010-01-05,146.9446
2010-01-06,113.3298
2010-01-07,126.6142
2010-01-08,117.8031
2010-01-11,127.1549
2010-01-12,38.3997
2010-01-13,29.5675
2010-01-14,-6.4179
2010-01-15,-162.6176
2010-01-19,51.8967
2010-01-20,434.4723
2010-01-21,-666.6667
2010-01-22,-333.4083
2010-01-25,-222.3274
2010-01-26,-166.7822
2010-01-27,-133.2806
2010-01-28,-111.0042
2010-01-29,-95.0361
2010-02-01,-83.1735
2010-02-02,-73.954
2010-02-03,-66.5913
2010-02-04,-60.6067
2010-02-05,-55.5508
2010-02-08,-51.2387
2010-02-09,-47.5529
2010-02-10,-44.3735
2010-02-11,-41.5013
2010-02-12,-38.9785
2010-02-16,-36.775
2010-02-17,-34.6106
2010-02-18,87.1513
2010-02-19,133.8806
2010-02-22,156.8501
2010-02-23,147.8984
2010-02-24,148.311
2010-02-25,126.3602
2010-02-26,132.2451
2010-03-01,145.1967
2010-03-02,132.6525
2010-03-03,134.0782
2010-03-04,129.3309
2010-03-05,126.5081
2010-03-08,112.2609
2010-03-09,90.6013
2010-03-10,78.9455
2010-03-11,67.7773
2010-03-12,66.6457
2010-03-15,57.6692
2010-03-16,53.244
2010-03-17,56.4766
2010-03-18,48.3835
2010-03-19,42.8268
2010-03-22,20.0185
2010-03-23,26.9945
2010-03-24,-43.6799
2010-03-25,-37.729
2010-03-26,-118.0531
2010-03-29,-85.238
2010-03-30,-117.5824
2010-03-31,-168.0338
2010-04-01,-93.2612
2010-04-05,-111.7546
2010-04-06,-184.3785
2010-04-07,-247.8761
2010-04-08,-256.5287
2010-04-09,-146.9483
2010-04-12,-91.79
2010-04-13,-104.8787
2010-04-14,-52.6427
2010-04-15,-90.9222
2010-04-16,-231.7391
2010-04-19,-150.0856
2010-04-20,-68.5274
2010-04-21,-114.6801
2010-04-22,-150.8517
2010-04-23,-111.7447
2010-04-26,-59.4228
2010-04-27,-172.3379
2010-04-28,-152.4942
2010-04-29,-96.6937
2010-04-30,-113.5853
2010-05-03,-63.3804
2010-05-04,-126.9923
2010-05-05,-144.0906
2010-05-06,-214.4706
2010-05-07,-189.6047
2010-05-10,-18.4054
2010-05-11,-10.6902
2010-05-12,7.2105
2010-05-13,-10.8408
2010-05-14,-86.5324
2010-05-17,-93.5914
2010-05-18,-78.5705
2010-05-19,-100.1485
2010-05-20,-200.6421
2010-05-21,-205.5366
2010-05-24,-198.8184
2010-05-25,-197.1381
2010-05-26,-145.0486
2010-05-27,-74.3267
2010-05-28,-100.4078
2010-06-01,-104.1734
2010-06-02,-71.3029
2010-06-03,-51.312
2010-06-04,-87.8891
2010-06-07,-82.6809
2010-06-08,-42.1544
2010-06-09,-22.1734
2010-06-10,28.4037
2010-06-11,63.1543
2010-06-14,109.1436
2010-06-15,162.6465
2010-06-16,182.4212
2010-06-17,210.2623
2010-06-18,190.0791
2010-06-21,157.5487
2010-06-22,129.9052
2010-06-23,99.7036
2010-06-24,86.8063
2010-06-25,115.3629
2010-06-28,104.0059
2010-06-29,81.7505
2010-06-30,68.336
2010-07-01,40.6614
2010-07-02,12.8578
2010-07-06,2.7118
2010-07-07,34.2971
2010-07-08,40.037
2010-07-09,41.3868
2010-07-12,24.6586
2010-07-13,44.1319
2010-07-14,13.1591
2010-07-15,-1.7363
2010-07-16,-153.6129
2010-07-19,-176.5071
2010-07-20,-116.6238
2010-07-21,-134.9666
2010-07-22,-65.8471
2010-07-23,-31.221
2010-07-26,-1.758
2010-07-27,-9.5018
2010-07-28,-50.3639
2010-07-29,-44.9805
2010-07-30,-47.4802
2010-08-02,87.196
2010-08-03,106.1817
2010-08-04,143.4806
2010-08-05,133.9057
2010-08-06,89.408
2010-08-09,112.2483
2010-08-10,61.5433
2010-08-11,-56.3429
2010-08-12,-108.0
2010-08-13,-103.4538
2010-08-16,-120.0372
2010-08-17,-64.74
2010-08-18,-6.5827
2010-08-19,-53.6077
2010-08-20,-66.2857
2010-08-23,-65.1249
2010-08-24,-96.4795
2010-08-25,-104.7377
2010-08-26,-93.7215
2010-08-27,-12.5088
2010-08-30,0.2713
2010-08-31,14.9795
2010-09-01,129.3021
2010-09-02,163.0052
2010-09-03,166.8534
2010-09-07,148.4456
2010-09-08,156.4434
2010-09-09,151.4932
2010-09-10,137.875
2010-09-13,136.5382
2010-09-14,119.5841
2010-09-15,104.3881
2010-09-16,99.2834
2010-09-17,87.2056
2010-09-20,84.5414
2010-09-21,76.5305
2010-09-22,56.5553
2010-09-23,10.8325
2010-09-24,91.4043
2010-09-27,61.2174
2010-09-28,38.4233
2010-09-29,16.4151
2010-09-30,37.5912
2010-10-01,17.527
2010-10-04,-70.5868
2010-10-05,22.0024
2010-10-06,68.336
2010-10-07,46.1915
2010-10-08,15.967
2010-10-11,-9.1947
2010-10-12,1.6779
2010-10-13,121.3925
2010-10-14,143.3055
2010-10-15,92.3484
2010-10-18,89.3643
2010-10-19,-73.4752
2010-10-20,-38.0169
2010-10-21,-18.2905
2010-10-22,15.3595
2010-10-25,104.0598
2010-10-26,-171.1118
2010-10-27,-333.7874
2010-10-28,-269.0203
2010-10-29,-255.7983
2010-11-01,-159.0166
2010-11-02,-125.7217
2010-11-03,-74.7061
2010-11-04,17.6795
2010-11-05,60.0254
2010-11-08,13.2652
2010-11-09,-51.1722
2010-11-10,-29.1981
2010-11-11,-44.3638
2010-11-12,-80.3204
2010-11-15,-75.6352
2010-11-16,-94.1532
2010-11-17,-95.8779
2010-11-18,-40.9884
2010-11-19,-30.6428
2010-11-22,-71.7198
2010-11-23,-125.4021
2010-11-24,-61.1876
2010-11-26,-84.4636
2010-11-29,-105.0679
2010-11-30,-72.7178
2010-12-01,16.8471
2010-12-02,35.0668
2010-12-03,9.1133
2010-12-06,15.0
2010-12-07,-17.1739
2010-12-08,-21.2333
2010-12-09,10.7332
2010-12-10,26.6115
2010-12-13,34.2926
2010-12-14,4.1477
2010-12-15,-81.6216
2010-12-16,-89.4573
2010-12-17,-65.483
2010-12-20,-78.8981
2010-12-21,12.773
2010-12-22,7.6105
2010-12-23,-51.028
2010-12-27,-39.3627
2010-12-28,-38.9248
2010-12-29,-66.6937
2010-12-30,-118.2264
2010-12-31,-64.6177
2011-01-03,98.4695
2011-01-04,11.8115
2011-01-05,120.3191
2011-01-06,115.6287
2011-01-07,-20.086
2011-01-10,-106.7076
2011-01-11,-108.8007
2011-01-12,101.9473
2011-01-13,139.0634
2011-01-14,225.3215
2011-01-18,247.0311
2011-01-19,116.2536
2011-01-20,75.5962
2011-01-21,37.8463
2011-01-24,238.7865
2011-01-25,222.3575
2011-01-26,192.5011
2011-01-27,147.1709
2011-01-28,75.7362
2011-01-31,49.954
2011-02-01,111.3945
2011-02-02,94.9653
2011-02-03,82.9203
2011-02-04,79.3276
2011-02-07,122.7753
2011-02-08,134.392
2011-02-09,101.9494
2011-02-10,114.5826
2011-02-11,134.2043
2011-02-14,170.9094
2011-02-15,136.4328
2011-02-16,118.3198
2011-02-17,103.507
2011-02-18,97.3632
2011-02-22,-5.8357
2011-02-23,-64.7648
2011-02-24,-35.4643
2011-02-25,57.2118
2011-02-28,204.4759
2011-03-01,131.7351
2011-03-02,61.1907
2011-03-03,139.4958
2011-03-04,82.3321
2011-03-07,54.3913
2011-03-08,94.1453
2011-03-09,77.9071
2011-03-10,12.6134
2011-03-11,-12.0843
2011-03-14,-71.6436
2011-03-15,-190.3182
2011-03-16,-200.6404
2011-03-17,-119.8822
2011-03-18,-52.3629
2011-03-21,9.0642
2011-03-22,28.6395
2011-03-23,-7.1815
2011-03-24,18.6936
2011-03-25,22.1159
2011-03-28,-2.0576
2011-03-29,-18.0802
2011-03-30,42.2399
2011-03-31,-50.645
2011-04-01,-53.8072
2011-04-04,-75.9755
2011-04-05,-123.5378
2011-04-06,-126.102
2011-04-07,-116.6443
2011-04-08,-104.9794
2011-04-11,-77.0344
2011-04-12,-92.4157
2011-04-13,-125.643
2011-04-14,-134.017
2011-04-15,-102.7599
2011-04-18,-125.091
2011-04-19,-104.8222
2011-04-20,-48.4046
2011-04-21,-16.6187
2011-04-25,-3.6275
2011-04-26,40.032
2011-04-27,47.5701
2011-04-28,86.6468
2011-04-29,117.1385
2011-05-02,2.3416
2011-05-03,15.7672
2011-05-04,-7.6294
2011-05-05,-149.3853
2011-05-06,-93.8351
2011-05-09,-72.1875
2011-05-10,-43.1308
2011-05-11,-86.8109
2011-05-12,-72.1829
2011-05-13,-97.7906
2011-05-16,-118.3191
2011-05-17,-147.5995
2011-05-18,-112.3409
2011-05-19,-100.587
2011-05-20,-111.1417
2011-05-23,-150.7625
2011-05-24,-143.3785
2011-05-25,-123.1273
2011-05-26,-102.7607
2011-05-27,-99.0197
2011-05-31,-50.9291
2011-06-01,-113.4203
2011-06-02,-120.2287
2011-06-03,-158.1834
2011-06-06,-181.0255
2011-06-07,-174.5998
2011-06-08,-186.1241
2011-06-09,-146.3795
2011-06-10,-152.2659
2011-06-13,-130.8451
2011-06-14,-77.0108
2011-06-15,-112.2914
2011-06-16,-77.1954
2011-06-17,-35.8266
2011-06-20,-9.444
2011-06-21,16.9578
2011-06-22,4.4224
2011-06-23,-35.8872
2011-06-24,-26.3673
2011-06-27,8.8621
2011-06-28,58.3935
2011-06-29,116.3604
2011-06-30,152.1686
2011-07-01,177.7508
2011-07-05,133.1056
2011-07-06,68.4876
2011-07-07,117.3193
2011-07-08,57.027
2011-07-11,-35.9957
2011-07-12,-21.2051
2011-07-13,27.0079
2011-07-14,-4.9525
2011-07-15,-82.4078
2011-07-18,-131.5013
2011-07-19,-39.8739
2011-07-20,-13.1024
2011-07-21,77.7385
2011-07-22,65.079
2011-07-25,-51.07
2011-07-26,-84.8843
2011-07-27,-142.8433
2011-07-28,-122.0528
2011-07-29,-150.5608
2011-08-01,-96.7122
2011-08-02,-176.4278
2011-08-03,-163.2408
2011-08-04,-253.1488
2011-08-05,-223.6498
2011-08-08,-288.2318
2011-08-09,-134.222
2011-08-10,-174.1493
2011-08-11,-89.2893
2011-08-12,-53.3397
2011-08-15,-39.6581
2011-08-16,-52.2777
2011-08-17,-20.6562
2011-08-18,-106.2146
2011-08-19,-113.9817
2011-08-22,-122.3947
2011-08-23,-96.5984
2011-08-24,-45.8164
2011-08-25,-53.4053
2011-08-26,-59.2738
2011-08-29,59.6042
2011-08-30,80.513
2011-08-31,109.713
2011-09-01,64.1242
2011-09-02,-39.7632
2011-09-06,-114.7859
2011-09-07,-17.1276
2011-09-08,-41.0755
2011-09-09,-111.1671
2011-09-12,-87.4036
2011-09-13,-66.4403
2011-09-14,-48.7716
2011-09-15,30.9105
2011-09-16,77.4176
2011-09-19,-17.0094
2011-09-20,-2.2068
2011-09-21,-117.3979
2011-09-22,-198.8889
2011-09-23,-161.7089
2011-09-26,63.7817
2011-09-27,127.5671
2011-09-28,71.2942
2011-09-29,115.0784
2011-09-30,86.9531
2011-10-03,48.7082
2011-10-04,93.2516
2011-10-05,115.3798
2011-10-06,117.2395
2011-10-07,78.6816
2011-10-10,123.1222
2011-10-11,104.5062
2011-10-12,130.3948
2011-10-13,102.2793
2011-10-14,105.6985
2011-10-17,57.2681
2011-10-18,94.2453
2011-10-19,93.7575
2011-10-20,125.484
2011-10-21,197.5106
2011-10-24,179.6695
2011-10-25,106.3618
2011-10-26,154.7894
2011-10-27,221.3658
2011-10-28,170.8692
2011-10-31,111.4615
2011-11-01,18.5158
2011-11-02,55.8424
2011-11-03,84.887
2011-11-04,50.1826
2011-11-07,24.1183
2011-11-08,52.5133
2011-11-09,-28.9219
2011-11-10,-34.2178
2011-11-11,1.5275
2011-11-14,-48.869
2011-11-15,-67.7208
2011-11-16,-126.1437
2011-11-17,-147.2965
2011-11-18,-98.855
2011-11-21,-125.8343
2011-11-22,-106.1169
2011-11-23,-155.489
2011-11-25,-152.9171
2011-11-28,-42.4195
2011-11-29,-22.9955
2011-11-30,121.005
2011-12-01,108.954
2011-12-02,112.3394
2011-12-05,117.3882
2011-12-06,109.1895
2011-12-07,112.2398
2011-12-08,56.2115
2011-12-09,67.796
2011-12-12,10.901
2011-12-13,-6.6886
2011-12-14,-25.2924
2011-12-15,-30.8956
2011-12-16,-44.2459
2011-12-19,-76.65
2011-12-20,-17.8317
