date,Aroon Down,Aroon Up
2010-01-04,40.0,10.0
2010-01-05,100.0,7.5
2010-01-06,100.0,5.0
2010-01-07,100.0,2.5
2010-01-08,100.0,0.0
2010-01-11,100.0,0.0
2010-01-12,97.5,0.0
2010-01-13,95.0,0.0
2010-01-14,92.5,0.0
2010-01-15,90.0,2.5
2010-01-19,87.5,0.0
2010-01-20,85.0,0.0
2010-01-21,82.5,67.5
2010-01-22,80.0,65.0
2010-01-25,77.5,62.5
2010-01-26,75.0,60.0
2010-01-27,72.5,57.5
2010-01-28,70.0,55.0
2010-01-29,67.5,52.5
2010-02-01,65.0,50.0
2010-02-02,62.5,47.5
2010-02-03,60.0,45.0
2010-02-04,57.5,42.5
2010-02-05,55.0,40.0
2010-02-08,52.5,37.5
2010-02-09,50.0,35.0
2010-02-10,47.5,32.5
2010-02-11,45.0,30.0
2010-02-12,42.5,27.5
2010-02-16,40.0,25.0
2010-02-17,37.5,22.5
2010-02-18,35.0,20.0
2010-02-19,32.5,17.5
2010-02-22,30.0,15.0
2010-02-23,27.5,12.5
2010-02-24,25.0,10.0
2010-02-25,22.5,7.5
2010-02-26,20.0,5.0
2010-03-01,17.5,2.5
2010-03-02,15.0,0.0
2010-03-03,12.5,82.5
2010-03-04,10.0,100.0
2010-03-05,7.5,100.0
2010-03-08,5.0,100.0
2010-03-09,2.5,97.5
2010-03-10,0.0,95.0
2010-03-11,42.5,92.5
2010-03-12,40.0,90.0
2010-03-15,37.5,87.5
2010-03-16,35.0,85.0
2010-03-17,32.5,100.0
2010-03-18,30.0,97.5
2010-03-19,27.5,100.0
2010-03-22,25.0,97.5
2010-03-23,22.5,100.0
2010-03-24,20.0,100.0
2010-03-25,17.5,97.5
2010-03-26,15.0,100.0
2010-03-29,12.5,97.5
2010-03-30,10.0,95.0
2010-03-31,7.5,92.5
2010-04-01,5.0,90.0
2010-04-05,2.5,87.5
2010-04-06,0.0,85.0
2010-04-07,10.0,100.0
2010-04-08,7.5,97.5
2010-04-09,5.0,100.0
2010-04-12,2.5,97.5
2010-04-13,0.0,95.0
2010-04-14,0.0,100.0
2010-04-15,2.5,97.5
2010-04-16,0.0,95.0
2010-04-19,35.0,92.5
2010-04-20,32.5,90.0
2010-04-21,30.0,87.5
2010-04-22,27.5,85.0
2010-04-23,25.0,82.5
2010-04-26,22.5,80.0
2010-04-27,20.0,77.5
2010-04-28,17.5,75.0
2010-04-29,15.0,100.0
2010-04-30,12.5,97.5
2010-05-03,10.0,95.0
2010-05-04,7.5,92.5
2010-05-05,5.0,90.0
2010-05-06,100.0,87.5
2010-05-07,97.5,85.0
2010-05-10,95.0,82.5
2010-05-11,92.5,80.0
2010-05-12,90.0,77.5
2010-05-13,87.5,100.0
2010-05-14,85.0,97.5
2010-05-17,82.5,95.0
2010-05-18,80.0,92.5
2010-05-19,77.5,90.0
2010-05-20,75.0,87.5
2010-05-21,72.5,85.0
2010-05-24,100.0,82.5
2010-05-25,100.0,80.0
2010-05-26,97.5,77.5
2010-05-27,95.0,75.0
2010-05-28,92.5,72.5
2010-06-01,90.0,70.0
2010-06-02,87.5,67.5
2010-06-03,85.0,65.0
2010-06-04,82.5,62.5
2010-06-07,80.0,60.0
2010-06-08,77.5,57.5
2010-06-09,75.0,55.0
2010-06-10,72.5,52.5
2010-06-11,70.0,50.0
2010-06-14,67.5,47.5
2010-06-15,65.0,45.0
