date,WILLR
2010-01-04,-65.5172
2010-01-05,-85.7143
2010-01-06,-99.4286
2010-01-07,-87.7049
2010-01-08,-95.082
2010-01-11,-76.5464
2010-01-12,-73.9691
2010-01-13,-69.8454
2010-01-14,-57.9897
2010-01-15,-68.2857
2010-01-19,-12.2449
2010-01-20,-11.3514
2010-01-21,-29.1892
2010-01-22,-57.2973
2010-01-25,-27.5676
2010-01-26,-49.4444
2010-01-27,-28.2353
2010-01-28,-35.8824
2010-01-29,-19.8953
2010-02-01,-32.9843
2010-02-02,-4.712
2010-02-03,-26.1538
2010-02-04,-87.3518
2010-02-05,-67.4497
2010-02-08,-68.1208
2010-02-09,-55.0336
2010-02-10,-52.0134
2010-02-11,-52.349
2010-02-12,-51.3423
2010-02-16,-28.5235
2010-02-17,-19.7987
2010-02-18,-9.4801
2010-02-19,-7.3394
2010-02-22,-4.2857
2010-02-23,-18.9286
2010-02-24,-17.5
2010-02-25,-16.0714
2010-02-26,-29.6429
2010-03-01,-15.0579
2010-03-02,-26.4045
2010-03-03,-15.1685
2010-03-04,-10.2941
2010-03-05,-2.9586
2010-03-08,-8.7963
2010-03-09,-73.1481
2010-03-10,-88.8412
2010-03-11,-70.5179
2010-03-12,-72.1116
2010-03-15,-47.8088
2010-03-16,-29.8805
2010-03-17,-20.9486
2010-03-18,-20.1581
2010-03-19,-0.9288
2010-03-22,-9.2879
2010-03-23,-0.303
2010-03-24,-10.582
2010-03-25,-18.1009
2010-03-26,-16.1765
2010-03-29,-22.7106
2010-03-30,-29.661
2010-03-31,-42.7966
2010-04-01,-30.2469
2010-04-05,-56.391
2010-04-06,-48.3333
2010-04-07,-6.8966
2010-04-08,-24.8276
2010-04-09,-18.0
2010-04-12,-44.0
2010-04-13,-20.6667
2010-04-14,-0.5917
2010-04-15,-34.8101
2010-04-16,-81.0127
2010-04-19,-80.8743
2010-04-20,-60.101
2010-04-21,-73.2323
2010-04-22,-78.7037
2010-04-23,-35.6481
2010-04-26,-57.8704
2010-04-27,-69.4444
2010-04-28,-9.4787
2010-04-29,-42.3868
2010-04-30,-40.3292
2010-05-03,-53.4979
2010-05-04,-86.0082
2010-05-05,-74.902
2010-05-06,-70.4365
2010-05-07,-72.0238
2010-05-10,-52.1825
2010-05-11,-50.3968
2010-05-12,-7.5397
2010-05-13,-10.0
2010-05-14,-23.5294
