date,ADX
2010-01-04,25.4394
2010-01-05,27.5891
2010-01-06,29.5238
2010-01-07,31.2927
2010-01-08,34.4376
2010-01-11,37.6751
2010-01-12,37.8268
2010-01-13,35.1085
2010-01-14,32.662
2010-01-15,29.4355
2010-01-19,27.3301
2010-01-20,27.2326
2010-01-21,30.3175
2010-01-22,33.0939
2010-01-25,35.7455
2010-01-26,39.5181
2010-01-27,43.0281
2010-01-28,44.7614
2010-01-29,46.5772
2010-02-01,48.3826
2010-02-02,48.9566
2010-02-03,49.3805
2010-02-04,51.5545
2010-02-05,53.5111
2010-02-08,52.2222
2010-02-09,51.0622
2010-02-10,50.4813
2010-02-11,48.6576
2010-02-12,45.7616
2010-02-16,41.667
2010-02-17,38.0629
2010-02-18,35.1337
2010-02-19,31.7114
2010-02-22,29.2603
2010-02-23,28.8506
2010-02-24,27.9662
2010-02-25,26.0473
2010-02-26,23.9087
2010-03-01,22.2593
2010-03-02,22.5639
2010-03-03,22.8381
2010-03-04,23.0295
2010-03-05,23.7137
2010-03-08,23.401
2010-03-09,23.1196
2010-03-10,22.4596
2010-03-11,22.921
2010-03-12,24.3276
2010-03-15,24.1227
2010-03-16,24.2791
2010-03-17,24.7951
2010-03-18,23.481
2010-03-19,22.1278
2010-03-22,20.6826
2010-03-23,19.0855
2010-03-24,20.3644
2010-03-25,22.1871
2010-03-26,21.8531
2010-03-29,21.3988
2010-03-30,20.7777
2010-03-31,20.2745
2010-04-01,21.3028
2010-04-05,21.2784
2010-04-06,19.2198
2010-04-07,17.3804
2010-04-08,16.5479
2010-04-09,15.7986
2010-04-12,15.2782
2010-04-13,15.8717
2010-04-14,15.7357
2010-04-15,16.9465
2010-04-16,15.3372
2010-04-19,14.4536
2010-04-20,14.2955
2010-04-21,14.1532
2010-04-22,17.8583
2010-04-23,21.1929
2010-04-26,24.8401
2010-04-27,28.1225
2010-04-28,25.7439
2010-04-29,23.6369
2010-04-30,21.8151
2010-05-03,20.1487
2010-05-04,19.6598
2010-05-05,18.131
2010-05-06,18.6842
2010-05-07,19.1821
2010-05-10,17.5641
2010-05-11,15.9037
2010-05-12,14.4094
2010-05-13,14.0972
2010-05-14,15.9503
2010-05-17,17.9866
2010-05-18,18.4369
2010-05-19,19.7159
2010-05-20,20.8107
2010-05-21,19.8959
2010-05-24,19.4177
2010-05-25,17.7403
2010-05-26,16.047
2010-05-27,14.5149
2010-05-28,13.7068
2010-06-01,12.8061
2010-06-02,11.541
2010-06-03,10.9779
2010-06-04,11.4266
2010-06-07,13.4923
2010-06-08,16.4344
2010-06-09,18.9646
2010-06-10,20.7169
2010-06-11,21.8797
2010-06-14,20.9475
2010-06-15,19.9399
2010-06-16,18.8106
