date,ADX
2010-01-04,36.3639
2010-01-05,36.8495
2010-01-06,41.3701
2010-01-07,45.4809
2010-01-08,39.8354
2010-01-11,35.319
2010-01-12,32.7993
2010-01-13,30.7836
2010-01-14,29.171
2010-01-15,33.3966
2010-01-19,39.8434
2010-01-20,40.5742
2010-01-21,46.9307
2010-01-22,52.0159
2010-01-25,56.255
2010-01-26,60.6553
2010-01-27,64.3397
2010-01-28,59.3841
2010-01-29,50.203
2010-02-01,40.2569
2010-02-02,35.6851
2010-02-03,35.4958
2010-02-04,35.2492
2010-02-05,35.8429
2010-02-08,36.3178
2010-02-09,38.6533
2010-02-10,40.5216
2010-02-11,38.7594
2010-02-12,39.0011
2010-02-16,36.5202
2010-02-17,40.0089
2010-02-18,43.4634
2010-02-19,46.2271
2010-02-22,50.0086
2010-02-23,44.568
2010-02-24,40.2156
2010-02-25,35.1968
2010-02-26,35.9543
2010-03-01,30.9846
2010-03-02,27.0088
2010-03-03,23.8282
2010-03-04,27.5827
2010-03-05,32.3139
2010-03-08,40.8256
2010-03-09,50.709
2010-03-10,59.3608
2010-03-11,66.5235
2010-03-12,72.3341
2010-03-15,68.273
2010-03-16,67.3658
2010-03-17,68.0664
2010-03-18,68.6269
2010-03-19,61.187
2010-03-22,57.0422
2010-03-23,55.2654
2010-03-24,55.0879
2010-03-25,58.7419
2010-03-26,61.665
2010-03-29,52.245
2010-03-30,42.205
2010-03-31,36.2848
2010-04-01,30.8043
2010-04-05,31.0511
2010-04-06,32.0606
2010-04-07,36.3427
2010-04-08,41.9479
2010-04-09,47.9037
2010-04-12,53.7101
2010-04-13,58.9305
2010-04-14,65.0459
2010-04-15,70.4275
2010-04-16,58.4084
2010-04-19,51.2809
2010-04-20,48.4203
2010-04-21,42.0143
2010-04-22,34.8907
2010-04-23,31.3279
2010-04-26,29.924
2010-04-27,33.9713
2010-04-28,37.2091
2010-04-29,35.9763
2010-04-30,37.94
2010-05-03,39.5109
2010-05-04,43.8499
2010-05-05,49.7295
2010-05-06,55.6229
2010-05-07,60.3376
2010-05-10,51.453
2010-05-11,45.8787
2010-05-12,41.4193
2010-05-13,39.9386
2010-05-14,43.2847
2010-05-17,48.3418
2010-05-18,53.033
2010-05-19,56.7859
2010-05-20,61.1586
2010-05-21,65.4913
2010-05-24,58.2832
2010-05-25,57.6259
2010-05-26,46.8259
2010-05-27,38.1285
2010-05-28,31.0601
2010-06-01,29.559
2010-06-02,28.3581
2010-06-03,23.7284
2010-06-04,24.6256
2010-06-07,29.2384
2010-06-08,32.9286
2010-06-09,27.5073
2010-06-10,24.0268
2010-06-11,20.1192
2010-06-14,17.5832
2010-06-15,19.0372
2010-06-16,20.7672
2010-06-17,23.9432
2010-06-18,26.4841
2010-06-21,32.0535
2010-06-22,27.5794
2010-06-23,25.953
2010-06-24,29.8345
2010-06-25,25.2142
2010-06-28,23.409
2010-06-29,25.5297
2010-06-30,27.2263
2010-07-01,31.5452
2010-07-02,31.9228
2010-07-06,31.0657
2010-07-07,29.3565
2010-07-08,26.598
2010-07-09,27.3893
2010-07-12,31.6617
2010-07-13,39.286
2010-07-14,42.5666
2010-07-15,37.1889
2010-07-16,34.1386
2010-07-19,33.5612
2010-07-20,31.6214
2010-07-21,30.0695
2010-07-22,25.9402
2010-07-23,22.6367
2010-07-26,23.8628
2010-07-27,30.1463
2010-07-28,27.1395
2010-07-29,23.9356
2010-07-30,21.3726
2010-08-02,24.6978
2010-08-03,21.6238
2010-08-04,19.1645
2010-08-05,17.7205
2010-08-06,21.0893
2010-08-09,19.4596
2010-08-10,19.1009
2010-08-11,27.3849
2010-08-12,34.3206
2010-08-13,32.5231
