date,Aroon Down,Aroon Up
2010-01-04,8.2645,28.0992
2010-01-05,7.438,27.2727
2010-01-06,6.6116,26.4463
2010-01-07,5.7851,25.6198
2010-01-08,4.9587,24.7934
2010-01-11,4.1322,23.9669
2010-01-12,3.3058,23.1405
2010-01-13,2.4793,22.314
2010-01-14,1.6529,21.4876
2010-01-15,0.8264,20.6612
2010-01-19,0.0,19.8347
2010-01-20,0.0,19.0083
2010-01-21,0.0,18.1818
2010-01-22,0.8264,17.3554
2010-01-25,0.0,16.5289
2010-01-26,0.8264,15.7025
2010-01-27,0.0,14.876
2010-01-28,77.686,14.0496
2010-01-29,76.8595,13.2231
2010-02-01,76.0331,12.3967
2010-02-02,75.2066,11.5702
2010-02-03,74.3802,10.7438
2010-02-04,73.5537,9.9174
2010-02-05,72.7273,9.0909
2010-02-08,71.9008,8.2645
2010-02-09,100.0,7.438
2010-02-10,99.1736,6.6116
2010-02-11,98.3471,5.7851
2010-02-12,97.5207,4.9587
2010-02-16,96.6942,4.1322
2010-02-17,95.8678,3.3058
2010-02-18,95.0413,2.4793
2010-02-19,94.2149,1.6529
2010-02-22,93.3884,0.8264
2010-02-23,92.562,0.0
2010-02-24,91.7355,0.0
2010-02-25,90.9091,0.0
2010-02-26,90.0826,23.9669
2010-03-01,89.2562,23.1405
2010-03-02,88.4298,22.314
2010-03-03,87.6033,21.4876
2010-03-04,86.7769,20.6612
2010-03-05,85.9504,19.8347
2010-03-08,85.124,19.0083
2010-03-09,84.2975,18.1818
2010-03-10,83.4711,17.3554
2010-03-11,82.6446,16.5289
2010-03-12,81.8182,15.7025
2010-03-15,80.9917,14.876
2010-03-16,80.1653,14.0496
2010-03-17,79.3388,13.2231
2010-03-18,78.5124,12.3967
2010-03-19,77.686,11.5702
2010-03-22,76.8595,10.7438
2010-03-23,76.0331,9.9174
2010-03-24,75.2066,9.0909
2010-03-25,74.3802,8.2645
2010-03-26,73.5537,7.438
2010-03-29,72.7273,6.6116
2010-03-30,71.9008,5.7851
2010-03-31,71.0744,4.9587
2010-04-01,70.2479,4.1322
2010-04-05,69.4215,3.3058
2010-04-06,68.595,2.4793
2010-04-07,67.7686,1.6529
2010-04-08,66.9421,0.8264
2010-04-09,66.1157,0.0
2010-04-12,65.2893,0.0
2010-04-13,64.4628,0.0
2010-04-14,63.6364,100.0
2010-04-15,62.8099,100.0
2010-04-16,61.9835,99.1736
2010-04-19,61.157,98.3471
2010-04-20,60.3306,97.5207
