date,CCI
2010-01-04,-92.9224
2010-01-05,-78.9713
2010-01-06,-64.3686
2010-01-07,-59.6384
2010-01-08,-70.0638
2010-01-11,-65.7827
2010-01-12,-82.3962
2010-01-13,-86.2417
2010-01-14,-89.4904
2010-01-15,-104.2204
2010-01-19,-102.643
2010-01-20,-98.8481
2010-01-21,-130.6442
2010-01-22,-134.8635
2010-01-25,-140.3251
2010-01-26,-151.0608
2010-01-27,-151.0006
2010-01-28,-141.2837
2010-01-29,-128.8369
2010-02-01,-121.6173
2010-02-02,-113.0837
2010-02-03,-108.7617
2010-02-04,-131.8232
2010-02-05,-132.8905
2010-02-08,-132.7973
2010-02-09,-130.7746
2010-02-10,-126.4231
2010-02-11,-120.4865
2010-02-12,-120.3781
2010-02-16,-103.9047
2010-02-17,-85.2557
2010-02-18,-80.4401
2010-02-19,-80.6811
2010-02-22,-74.675
2010-02-23,-80.982
2010-02-24,-75.4009
2010-02-25,-79.4667
2010-02-26,-74.3776
2010-03-01,-75.5915
2010-03-02,-71.6999
2010-03-03,-70.8733
2010-03-04,-65.9313
2010-03-05,-57.8016
2010-03-08,-45.0367
2010-03-09,-19.5585
2010-03-10,15.8654
2010-03-11,33.4328
2010-03-12,25.3594
2010-03-15,3.0598
2010-03-16,22.1027
2010-03-17,31.5882
2010-03-18,27.5682
2010-03-19,15.2656
2010-03-22,24.7244
2010-03-23,42.4907
2010-03-24,48.1694
2010-03-25,72.2158
2010-03-26,76.1466
2010-03-29,64.0851
2010-03-30,45.0824
2010-03-31,38.3828
2010-04-01,50.9471
2010-04-05,73.4429
2010-04-06,78.3245
2010-04-07,91.7755
2010-04-08,104.9048
2010-04-09,127.4527
2010-04-12,140.4911
2010-04-13,142.1107
2010-04-14,179.2243
2010-04-15,180.1239
2010-04-16,133.4667
2010-04-19,168.1366
2010-04-20,193.4779
2010-04-21,181.7754
2010-04-22,165.0146
2010-04-23,167.4375
2010-04-26,132.464
2010-04-27,91.0253
2010-04-28,98.1184
2010-04-29,110.7172
2010-04-30,89.2527
2010-05-03,87.1576
2010-05-04,65.239
2010-05-05,46.0695
2010-05-06,33.1759
2010-05-07,25.3856
2010-05-10,59.5393
2010-05-11,48.701
2010-05-12,50.0354
2010-05-13,39.3548
2010-05-14,19.5853
2010-05-17,4.8082
2010-05-18,-6.4998
2010-05-19,-7.4938
2010-05-20,-25.5659
2010-05-21,-20.8556
2010-05-24,0.6403
2010-05-25,-17.5809
2010-05-26,14.9262
2010-05-27,31.9844
2010-05-28,25.8272
2010-06-01,10.1695
2010-06-02,13.0941
2010-06-03,24.805
2010-06-04,1.0704
2010-06-07,-19.8532
2010-06-08,-17.4298
2010-06-09,3.8395
2010-06-10,14.6999
2010-06-11,9.9308
2010-06-14,11.2713
2010-06-15,20.4015
2010-06-16,22.5007
2010-06-17,20.7244
2010-06-18,22.7659
2010-06-21,30.4272
2010-06-22,18.9978
2010-06-23,8.6292
2010-06-24,-11.1745
2010-06-25,5.5222
2010-06-28,18.6163
2010-06-29,-16.6653
2010-06-30,-18.7843
2010-07-01,-23.7938
2010-07-02,-15.9234
2010-07-06,-14.8449
2010-07-07,-5.0329
2010-07-08,13.3911
2010-07-09,21.4173
2010-07-12,36.1844
2010-07-13,66.3927
2010-07-14,56.6875
2010-07-15,43.8343
2010-07-16,7.9692
2010-07-19,5.0004
2010-07-20,9.1163
2010-07-21,5.9359
2010-07-22,21.9403
2010-07-23,14.1491
2010-07-26,30.7116
2010-07-27,49.0677
2010-07-28,28.6792
2010-07-29,28.2939
2010-07-30,23.3408
2010-08-02,42.555
2010-08-03,30.1191
2010-08-04,29.2561
2010-08-05,17.3598
2010-08-06,5.2306
2010-08-09,8.3657
2010-08-10,-5.3727
2010-08-11,-41.5867
2010-08-12,-49.3534
2010-08-13,-40.2045
2010-08-16,-49.2027
2010-08-17,-53.6427
2010-08-18,-55.5339
2010-08-19,-70.5069
2010-08-20,-92.3198
2010-08-23,-86.3989
2010-08-24,-106.5467
2010-08-25,-117.7955
2010-08-26,-116.0371
2010-08-27,-107.9558
2010-08-30,-113.7128
2010-08-31,-115.0836
2010-09-01,-77.4428
2010-09-02,-56.8895
2010-09-03,-42.3797
2010-09-07,-67.1013
2010-09-08,-66.1318
2010-09-09,-45.3485
2010-09-10,-44.262
2010-09-13,-23.9561
2010-09-14,-35.0609
2010-09-15,-43.1374
2010-09-16,-34.847
2010-09-17,-25.5479
2010-09-20,-24.089
2010-09-21,-26.6917
2010-09-22,-41.898
2010-09-23,-65.472
2010-09-24,-47.8599
2010-09-27,-46.6445
2010-09-28,-50.6992
2010-09-29,-34.2907
2010-09-30,-30.4249
2010-10-01,4.4505
2010-10-04,11.6798
2010-10-05,33.8378
2010-10-06,36.3671
2010-10-07,58.2969
2010-10-08,66.3856
2010-10-11,69.7957
2010-10-12,89.7378
2010-10-13,113.1723
2010-10-14,43.7029
2010-10-15,8.0055
2010-10-18,70.5207
2010-10-19,65.3702
2010-10-20,64.2542
2010-10-21,68.991
2010-10-22,84.5935
2010-10-25,129.5427
2010-10-26,121.9067
2010-10-27,113.4013
2010-10-28,115.1233
2010-10-29,112.4368
2010-11-01,103.6535
2010-11-02,116.4468
2010-11-03,117.437
2010-11-04,170.3663
2010-11-05,244.8163
2010-11-08,244.9001
2010-11-09,189.275
2010-11-10,203.9349
2010-11-11,187.3552
2010-11-12,149.2878
2010-11-15,158.2892
2010-11-16,109.7316
2010-11-17,89.2325
2010-11-18,127.8235
2010-11-19,111.3607
2010-11-22,84.3365
2010-11-23,47.4885
2010-11-24,64.0063
2010-11-26,48.2349
2010-11-29,54.7252
2010-11-30,73.3612
2010-12-01,119.8223
2010-12-02,164.3122
2010-12-03,170.4396
2010-12-06,182.3535
2010-12-07,236.7973
2010-12-08,231.6321
2010-12-09,250.8517
2010-12-10,261.9685
2010-12-13,279.3212
2010-12-14,238.6315
2010-12-15,190.9393
2010-12-16,182.2439
2010-12-17,199.5741
2010-12-20,211.5988
2010-12-21,217.3429
2010-12-22,206.0803
2010-12-23,190.5331
2010-12-27,199.2138
2010-12-28,205.9335
2010-12-29,198.2689
2010-12-30,188.9116
2010-12-31,174.9446
2011-01-03,205.4419
2011-01-04,206.7384
2011-01-05,215.0225
2011-01-06,213.9646
2011-01-07,193.278
2011-01-10,180.6189
2011-01-11,184.0073
2011-01-12,201.5807
2011-01-13,197.8434
2011-01-14,199.5447
2011-01-18,135.7353
2011-01-19,120.5304
2011-01-20,115.2983
2011-01-21,133.176
2011-01-24,127.4531
2011-01-25,113.4099
2011-01-26,113.3046
2011-01-27,111.2737
2011-01-28,97.1012
2011-01-31,98.1918
2011-02-01,114.3969
2011-02-02,106.8272
2011-02-03,95.1786
2011-02-04,91.9928
2011-02-07,103.7665
2011-02-08,102.8756
2011-02-09,92.8684
2011-02-10,81.3234
2011-02-11,90.8741
2011-02-14,98.399
2011-02-15,99.0775
2011-02-16,96.1307
2011-02-17,96.9242
2011-02-18,96.4653
2011-02-22,58.2618
2011-02-23,47.6826
2011-02-24,44.1382
2011-02-25,49.6007
2011-02-28,49.9331
2011-03-01,31.3982
2011-03-02,27.1764
2011-03-03,39.6102
2011-03-04,19.2369
2011-03-07,10.9573
2011-03-08,26.6311
2011-03-09,32.7132
2011-03-10,13.5272
2011-03-11,11.95
2011-03-14,3.0694
2011-03-15,-16.3761
2011-03-16,-20.613
2011-03-17,-19.0765
2011-03-18,-4.1343
2011-03-21,-11.5932
2011-03-22,-26.2985
2011-03-23,-36.6339
2011-03-24,-33.1438
2011-03-25,-21.6828
2011-03-28,-27.9602
2011-03-29,-31.5566
2011-03-30,-23.4194
2011-03-31,-34.4699
2011-04-01,-27.3144
2011-04-04,-34.526
2011-04-05,-28.0679
2011-04-06,2.4376
2011-04-07,14.4218
2011-04-08,4.6272
2011-04-11,-8.1132
2011-04-12,-13.3204
2011-04-13,-16.6906
2011-04-14,-46.6041
2011-04-15,-47.0141
2011-04-18,-50.1901
2011-04-19,-27.1983
2011-04-20,-10.5489
2011-04-21,-16.9618
2011-04-25,-21.6049
2011-04-26,-30.9056
2011-04-27,-33.4521
2011-04-28,-19.8742
2011-04-29,-15.0343
2011-05-02,-30.7846
2011-05-03,-33.4369
2011-05-04,-35.924
2011-05-05,-47.7398
2011-05-06,-30.3727
2011-05-09,3992.7769
2011-05-10,2011.0635
2011-05-11,1321.4961
2011-05-12,972.5605
2011-05-13,777.3148
2011-05-16,644.6124
2011-05-17,555.9345
2011-05-18,486.8241
2011-05-19,435.7227
2011-05-20,391.2158
2011-05-23,347.494
2011-05-24,319.0181
2011-05-25,297.7295
2011-05-26,275.5392
2011-05-27,261.7953
2011-05-31,248.685
2011-06-01,226.5442
2011-06-02,212.621
2011-06-03,202.2031
2011-06-06,184.0039
2011-06-07,172.0604
2011-06-08,160.599
2011-06-09,156.1415
2011-06-10,151.1463
2011-06-13,151.8009
2011-06-14,147.0393
2011-06-15,136.8386
2011-06-16,130.2804
2011-06-17,128.8312
2011-06-20,124.8253
2011-06-21,124.1742
2011-06-22,123.549
2011-06-23,117.931
2011-06-24,115.7589
2011-06-27,114.5183
2011-06-28,112.2402
2011-06-29,114.2088
2011-06-30,112.7381
2011-07-01,113.2505
2011-07-05,110.8559
2011-07-06,105.0598
2011-07-07,105.5574
2011-07-08,100.6177
2011-07-11,91.2377
2011-07-12,85.7629
2011-07-13,84.8215
2011-07-14,81.8702
2011-07-15,78.9157
2011-07-18,72.2832
2011-07-19,71.7843
2011-07-20,73.1331
2011-07-21,76.7365
2011-07-22,76.3392
2011-07-25,73.397
2011-07-26,71.8623
2011-07-27,66.2429
2011-07-28,64.416
2011-07-29,62.8171
2011-08-01,63.0268
2011-08-02,58.0102
2011-08-03,55.2796
2011-08-04,48.6702
2011-08-05,40.6154
2011-08-08,22.1265
2011-08-09,29.8742
2011-08-10,22.3932
2011-08-11,24.3575
2011-08-12,25.6071
2011-08-15,26.953
