date,WILLR
2010-01-04,-17.3913
2010-01-05,-6.8966
2010-01-06,-9.5238
2010-01-07,-11.3636
2010-01-08,-26.1905
2010-01-11,-17.5
2010-01-12,-45.0
2010-01-13,-50.0
2010-01-14,-48.7179
2010-01-15,-77.7778
2010-01-19,-40.0
2010-01-20,-60.0
2010-01-21,-86.0
2010-01-22,-89.3617
2010-01-25,-93.617
2010-01-26,-100.0
2010-01-27,-86.9565
2010-01-28,-78.2609
2010-01-29,-60.8696
2010-02-01,-56.5217
2010-02-02,-41.3043
2010-02-03,-28.125
2010-02-04,-87.5
2010-02-05,-75.0
2010-02-08,-96.875
2010-02-09,-80.0
2010-02-10,-74.2857
2010-02-11,-71.4286
2010-02-12,-80.0
2010-02-16,-42.8571
2010-02-17,-14.2857
2010-02-18,-11.1111
2010-02-19,-13.8889
2010-02-22,-5.4054
2010-02-23,-35.1351
2010-02-24,-8.8235
2010-02-25,-27.2727
2010-02-26,-24.2424
2010-03-01,-33.3333
2010-03-02,-58.9536
2010-03-03,-58.9536
2010-03-04,-36.846
2010-03-05,-0.0
2010-03-08,-15.6433
2010-03-09,-7.7564
2010-03-10,-15.1578
2010-03-11,-0.0
2010-03-12,-28.5486
2010-03-15,-39.759
2010-03-16,-20.4819
2010-03-17,-20.4819
2010-03-18,-25.974
2010-03-19,-47.0588
2010-03-22,-26.4706
2010-03-23,-23.0769
2010-03-24,-17.9487
2010-03-25,-20.0
2010-03-26,-12.7273
2010-03-29,-43.3962
2010-03-30,-60.3774
2010-03-31,-67.9245
2010-04-01,-43.3962
2010-04-05,-28.3019
2010-04-06,-30.0
2010-04-07,-12.5
2010-04-08,-4.1667
2010-04-09,-3.5714
2010-04-12,-0.0
2010-04-13,-9.4015
2010-04-14,-1.0753
2010-04-15,-24.7619
2010-04-16,-60.7143
2010-04-19,-23.1707
2010-04-20,-12.987
2010-04-21,-18.4211
2010-04-22,-30.303
2010-04-23,-31.8182
2010-04-26,-69.697
2010-04-27,-98.6486
2010-04-28,-83.7838
2010-04-29,-68.4932
2010-04-30,-94.5205
2010-05-03,-89.0411
2010-05-04,-96.2963
