date,CCI
2010-01-04,310.8393
2010-01-05,297.9481
2010-01-06,209.3795
2010-01-07,200.588
2010-01-08,136.9938
2010-01-11,76.6451
2010-01-12,11.8586
2010-01-13,7.22
2010-01-14,12.1681
2010-01-15,-39.6669
2010-01-19,-42.3072
2010-01-20,-35.2716
2010-01-21,-104.7003
2010-01-22,-208.6682
2010-01-25,-174.5638
2010-01-26,-190.1949
2010-01-27,-179.5858
2010-01-28,-134.8865
2010-01-29,-130.9917
2010-02-01,-97.237
2010-02-02,-60.6488
2010-02-03,-37.9925
2010-02-04,-78.1261
2010-02-05,-70.8237
2010-02-08,-68.6832
2010-02-09,-67.4377
2010-02-10,-44.5855
2010-02-11,-36.8485
2010-02-12,-42.4168
2010-02-16,23.6973
2010-02-17,49.4796
2010-02-18,40.4829
2010-02-19,67.4269
2010-02-22,95.9255
2010-02-23,111.1629
2010-02-24,111.533
2010-02-25,30.3241
2010-02-26,44.0431
2010-03-01,64.6119
2010-03-02,108.6894
2010-03-03,89.2536
2010-03-04,196.7421
2010-03-05,287.7242
2010-03-08,274.2826
2010-03-09,217.5472
2010-03-10,184.5056
2010-03-11,165.4844
2010-03-12,159.0007
2010-03-15,115.7744
2010-03-16,119.8657
2010-03-17,115.0032
2010-03-18,104.4334
2010-03-19,97.9445
2010-03-22,79.9376
2010-03-23,64.2804
2010-03-24,57.0435
2010-03-25,67.6763
2010-03-26,33.0617
2010-03-29,26.4445
2010-03-30,0.5796
2010-03-31,-50.5693
2010-04-01,-77.3605
2010-04-05,-46.8207
2010-04-06,-26.9076
2010-04-07,58.7752
2010-04-08,145.2204
2010-04-09,150.0903
2010-04-12,116.9334
2010-04-13,107.7662
2010-04-14,228.0553
2010-04-15,186.805
2010-04-16,-160.4145
2010-04-19,-238.1738
2010-04-20,-183.8468
2010-04-21,-176.1706
2010-04-22,-153.1341
2010-04-23,-136.4757
2010-04-26,-154.2651
2010-04-27,-131.9492
2010-04-28,-92.3263
2010-04-29,-60.3336
2010-04-30,-131.8528
2010-05-03,-106.1293
2010-05-04,-90.9539
2010-05-05,-90.1641
2010-05-06,-118.4772
2010-05-07,-111.5018
2010-05-10,-95.4547
2010-05-11,-101.6431
2010-05-12,-75.6254
2010-05-13,-69.5575
2010-05-14,-90.9744
2010-05-17,-97.4998
2010-05-18,-119.8721
2010-05-19,-116.6142
2010-05-20,-128.5223
2010-05-21,-85.0476
2010-05-24,-97.1848
2010-05-25,-73.0443
2010-05-26,-37.6344
2010-05-27,9.1239
2010-05-28,29.6826
2010-06-01,11.7749
2010-06-02,31.988
2010-06-03,51.6714
2010-06-04,30.8976
2010-06-07,-67.9424
2010-06-08,-125.0871
2010-06-09,-109.0426
2010-06-10,-170.4623
2010-06-11,-140.5759
2010-06-14,-131.6723
2010-06-15,-90.2606
2010-06-16,-57.9023
2010-06-17,-54.9698
2010-06-18,-23.5188
2010-06-21,-23.1147
2010-06-22,-77.257
2010-06-23,-88.8914
2010-06-24,-83.1461
2010-06-25,6.3222
2010-06-28,-5.5187
2010-06-29,-95.9232
2010-06-30,-145.6116
2010-07-01,-154.1727
2010-07-02,-157.5485
2010-07-06,-97.504
2010-07-07,-21.9433
2010-07-08,7.7916
2010-07-09,63.3611
2010-07-12,62.2909
