date,Aroon Down,Aroon Up
2010-01-04,10.0,100.0
2010-01-05,0.0,100.0
2010-01-06,60.0,100.0
2010-01-07,50.0,100.0
2010-01-08,40.0,90.0
2010-01-11,30.0,100.0
2010-01-12,20.0,90.0
2010-01-13,10.0,80.0
2010-01-14,0.0,70.0
2010-01-15,0.0,60.0
2010-01-19,0.0,50.0
2010-01-20,100.0,40.0
2010-01-21,100.0,30.0
2010-01-22,100.0,20.0
2010-01-25,90.0,10.0
2010-01-26,100.0,0.0
2010-01-27,100.0,20.0
2010-01-28,90.0,10.0
2010-01-29,80.0,0.0
2010-02-01,70.0,0.0
2010-02-02,60.0,0.0
2010-02-03,50.0,0.0
2010-02-04,40.0,0.0
2010-02-05,100.0,0.0
2010-02-08,90.0,70.0
2010-02-09,80.0,60.0
2010-02-10,70.0,50.0
2010-02-11,60.0,40.0
2010-02-12,50.0,30.0
2010-02-16,40.0,20.0
2010-02-17,30.0,10.0
2010-02-18,20.0,0.0
2010-02-19,10.0,100.0
2010-02-22,0.0,100.0
2010-02-23,0.0,90.0
2010-02-24,0.0,80.0
2010-02-25,20.0,70.0
2010-02-26,10.0,100.0
2010-03-01,0.0,90.0
2010-03-02,0.0,100.0
2010-03-03,60.0,90.0
2010-03-04,50.0,80.0
2010-03-05,40.0,100.0
2010-03-08,30.0,100.0
2010-03-09,20.0,90.0
2010-03-10,10.0,100.0
2010-03-11,0.0,90.0
2010-03-12,0.0,100.0
2010-03-15,20.0,90.0
2010-03-16,10.0,80.0
2010-03-17,0.0,100.0
2010-03-18,0.0,90.0
2010-03-19,20.0,80.0
2010-03-22,10.0,70.0
2010-03-23,0.0,100.0
2010-03-24,30.0,100.0
2010-03-25,20.0,100.0
2010-03-26,10.0,90.0
2010-03-29,0.0,80.0
2010-03-30,0.0,70.0
2010-03-31,30.0,60.0
2010-04-01,20.0,50.0
2010-04-05,10.0,40.0
2010-04-06,0.0,30.0
2010-04-07,0.0,20.0
2010-04-08,0.0,10.0
2010-04-09,40.0,100.0
2010-04-12,30.0,100.0
2010-04-13,20.0,90.0
2010-04-14,10.0,100.0
2010-04-15,0.0,100.0
2010-04-16,10.0,90.0
2010-04-19,100.0,80.0
2010-04-20,90.0,70.0
2010-04-21,80.0,60.0
2010-04-22,100.0,50.0
2010-04-23,90.0,40.0
2010-04-26,100.0,30.0
2010-04-27,100.0,20.0
2010-04-28,90.0,10.0
2010-04-29,80.0,0.0
2010-04-30,100.0,0.0
2010-05-03,90.0,20.0
2010-05-04,80.0,10.0
2010-05-05,100.0,0.0
2010-05-06,100.0,0.0
2010-05-07,90.0,0.0
2010-05-10,80.0,0.0
2010-05-11,70.0,0.0
2010-05-12,60.0,10.0
2010-05-13,50.0,0.0
2010-05-14,100.0,0.0
2010-05-17,100.0,0.0
2010-05-18,100.0,10.0
2010-05-19,100.0,0.0
2010-05-20,100.0,20.0
2010-05-21,100.0,10.0
2010-05-24,90.0,0.0
2010-05-25,80.0,0.0
2010-05-26,70.0,0.0
2010-05-27,60.0,0.0
2010-05-28,50.0,20.0
2010-06-01,40.0,10.0
2010-06-02,30.0,0.0
2010-06-03,20.0,60.0
2010-06-04,10.0,50.0
2010-06-07,100.0,40.0
2010-06-08,100.0,30.0
2010-06-09,90.0,20.0
2010-06-10,80.0,10.0
2010-06-11,70.0,0.0
2010-06-14,60.0,0.0
2010-06-15,50.0,0.0
2010-06-16,40.0,10.0
2010-06-17,30.0,0.0
2010-06-18,20.0,100.0
2010-06-21,10.0,100.0
2010-06-22,0.0,90.0
2010-06-23,0.0,80.0
2010-06-24,20.0,70.0
2010-06-25,10.0,60.0
2010-06-28,0.0,50.0
2010-06-29,100.0,40.0
2010-06-30,100.0,30.0
2010-07-01,100.0,20.0
2010-07-02,90.0,10.0
2010-07-06,80.0,0.0
2010-07-07,70.0,40.0
2010-07-08,60.0,30.0
2010-07-09,50.0,20.0
2010-07-12,40.0,10.0
2010-07-13,30.0,100.0
2010-07-14,20.0,90.0
2010-07-15,10.0,100.0
2010-07-16,0.0,90.0
2010-07-19,0.0,80.0
2010-07-20,0.0,70.0
2010-07-21,0.0,60.0
2010-07-22,0.0,50.0
2010-07-23,0.0,40.0
2010-07-26,50.0,30.0
2010-07-27,40.0,100.0
2010-07-28,30.0,90.0
2010-07-29,20.0,80.0
2010-07-30,10.0,70.0
2010-08-02,0.0,100.0
2010-08-03,0.0,90.0
2010-08-04,0.0,80.0
2010-08-05,0.0,70.0
2010-08-06,0.0,60.0
2010-08-09,0.0,50.0
2010-08-10,100.0,40.0
2010-08-11,100.0,30.0
2010-08-12,100.0,20.0
2010-08-13,90.0,10.0
2010-08-16,80.0,0.0
2010-08-17,70.0,0.0
2010-08-18,60.0,10.0
2010-08-19,100.0,0.0
2010-08-20,100.0,0.0
2010-08-23,90.0,0.0
2010-08-24,100.0,0.0
2010-08-25,100.0,0.0
2010-08-26,100.0,40.0
2010-08-27,100.0,30.0
2010-08-30,90.0,20.0
2010-08-31,80.0,10.0
2010-09-01,70.0,0.0
2010-09-02,60.0,100.0
2010-09-03,50.0,100.0
2010-09-07,40.0,90.0
2010-09-08,30.0,100.0
2010-09-09,20.0,100.0
2010-09-10,10.0,90.0
2010-09-13,0.0,100.0
2010-09-14,10.0,90.0
2010-09-15,0.0,80.0
2010-09-16,0.0,70.0
2010-09-17,0.0,60.0
2010-09-20,10.0,50.0
2010-09-21,0.0,100.0
2010-09-22,0.0,90.0
2010-09-23,100.0,80.0
2010-09-24,90.0,70.0
2010-09-27,80.0,60.0
2010-09-28,100.0,50.0
2010-09-29,100.0,40.0
2010-09-30,100.0,30.0
2010-10-01,90.0,20.0
2010-10-04,80.0,10.0
2010-10-05,70.0,0.0
2010-10-06,60.0,0.0
2010-10-07,50.0,100.0
2010-10-08,40.0,90.0
2010-10-11,30.0,80.0
2010-10-12,20.0,100.0
2010-10-13,10.0,100.0
2010-10-14,0.0,90.0
2010-10-15,100.0,80.0
2010-10-18,90.0,70.0
2010-10-19,80.0,60.0
2010-10-20,70.0,50.0
2010-10-21,100.0,40.0
2010-10-22,90.0,30.0
2010-10-25,80.0,20.0
2010-10-26,70.0,10.0
2010-10-27,60.0,0.0
2010-10-28,50.0,0.0
2010-10-29,40.0,0.0
2010-11-01,30.0,10.0
2010-11-02,20.0,0.0
2010-11-03,10.0,10.0
2010-11-04,0.0,100.0
2010-11-05,20.0,100.0
2010-11-08,10.0,90.0
2010-11-09,0.0,80.0
2010-11-10,40.0,70.0
2010-11-11,30.0,60.0
2010-11-12,20.0,50.0
2010-11-15,10.0,40.0
2010-11-16,0.0,30.0
2010-11-17,0.0,20.0
2010-11-18,0.0,10.0
2010-11-19,80.0,0.0
2010-11-22,100.0,0.0
2010-11-23,100.0,0.0
2010-11-24,100.0,30.0
2010-11-26,100.0,20.0
2010-11-29,100.0,10.0
2010-11-30,90.0,0.0
2010-12-01,80.0,20.0
2010-12-02,70.0,10.0
2010-12-03,60.0,0.0
2010-12-06,50.0,100.0
2010-12-07,40.0,100.0
2010-12-08,30.0,90.0
2010-12-09,20.0,100.0
2010-12-10,10.0,100.0
2010-12-13,0.0,100.0
2010-12-14,0.0,90.0
2010-12-15,0.0,80.0
2010-12-16,0.0,70.0
2010-12-17,0.0,60.0
2010-12-20,20.0,50.0
2010-12-21,10.0,40.0
2010-12-22,0.0,100.0
2010-12-23,60.0,90.0
2010-12-27,50.0,100.0
2010-12-28,40.0,100.0
2010-12-29,30.0,90.0
2010-12-30,20.0,80.0
2010-12-31,10.0,70.0
2011-01-03,0.0,100.0
2011-01-04,0.0,100.0
2011-01-05,0.0,100.0
2011-01-06,0.0,90.0
2011-01-07,10.0,80.0
2011-01-10,0.0,70.0
2011-01-11,30.0,60.0
2011-01-12,20.0,50.0
2011-01-13,10.0,100.0
2011-01-14,0.0,100.0
2011-01-18,40.0,90.0
2011-01-19,30.0,80.0
2011-01-20,20.0,70.0
2011-01-21,10.0,60.0
2011-01-24,0.0,50.0
2011-01-25,0.0,40.0
2011-01-26,0.0,30.0
2011-01-27,40.0,20.0
2011-01-28,30.0,10.0
2011-01-31,20.0,0.0
2011-02-01,10.0,100.0
2011-02-02,0.0,90.0
2011-02-03,0.0,80.0
2011-02-04,20.0,70.0
2011-02-07,10.0,60.0
2011-02-08,0.0,50.0
2011-02-09,70.0,40.0
2011-02-10,60.0,30.0
2011-02-11,50.0,100.0
2011-02-14,40.0,100.0
2011-02-15,30.0,100.0
2011-02-16,20.0,100.0
2011-02-17,10.0,90.0
2011-02-18,0.0,80.0
2011-02-22,20.0,70.0
2011-02-23,10.0,60.0
2011-02-24,0.0,50.0
2011-02-25,0.0,40.0
2011-02-28,80.0,30.0
2011-03-01,70.0,20.0
2011-03-02,100.0,10.0
2011-03-03,90.0,0.0
2011-03-04,80.0,10.0
2011-03-07,100.0,0.0
2011-03-08,90.0,0.0
2011-03-09,80.0,30.0
2011-03-10,70.0,20.0
2011-03-11,60.0,10.0
2011-03-14,100.0,0.0
2011-03-15,100.0,60.0
2011-03-16,100.0,50.0
2011-03-17,100.0,40.0
2011-03-18,90.0,30.0
2011-03-21,80.0,20.0
2011-03-22,70.0,10.0
2011-03-23,60.0,0.0
2011-03-24,50.0,70.0
2011-03-25,40.0,100.0
2011-03-28,30.0,100.0
2011-03-29,20.0,90.0
2011-03-30,10.0,100.0
2011-03-31,0.0,90.0
2011-04-01,0.0,100.0
2011-04-04,20.0,90.0
2011-04-05,10.0,80.0
2011-04-06,0.0,100.0
2011-04-07,0.0,100.0
2011-04-08,20.0,90.0
2011-04-11,10.0,80.0
2011-04-12,0.0,70.0
2011-04-13,100.0,60.0
2011-04-14,100.0,50.0
2011-04-15,100.0,40.0
2011-04-18,100.0,30.0
2011-04-19,90.0,20.0
2011-04-20,80.0,10.0
2011-04-21,70.0,0.0
2011-04-25,60.0,0.0
2011-04-26,50.0,20.0
2011-04-27,40.0,10.0
2011-04-28,30.0,0.0
2011-04-29,20.0,100.0
2011-05-02,10.0,90.0
2011-05-03,0.0,100.0
2011-05-04,0.0,90.0
2011-05-05,0.0,80.0
2011-05-06,0.0,70.0
2011-05-09,100.0,60.0
2011-05-10,90.0,50.0
2011-05-11,100.0,40.0
2011-05-12,100.0,30.0
2011-05-13,100.0,20.0
2011-05-16,100.0,10.0
2011-05-17,100.0,0.0
2011-05-18,90.0,0.0
2011-05-19,80.0,10.0
2011-05-20,70.0,0.0
2011-05-23,100.0,10.0
2011-05-24,100.0,0.0
2011-05-25,90.0,0.0
2011-05-26,80.0,50.0
2011-05-27,70.0,40.0
2011-05-31,60.0,30.0
2011-06-01,50.0,20.0
2011-06-02,100.0,10.0
2011-06-03,90.0,0.0
2011-06-06,100.0,0.0
2011-06-07,90.0,50.0
2011-06-08,100.0,40.0
2011-06-09,90.0,30.0
2011-06-10,100.0,20.0
2011-06-13,90.0,10.0
2011-06-14,80.0,0.0
2011-06-15,70.0,0.0
2011-06-16,100.0,80.0
2011-06-17,90.0,70.0
2011-06-20,80.0,60.0
2011-06-21,70.0,50.0
2011-06-22,60.0,40.0
2011-06-23,100.0,30.0
2011-06-24,100.0,20.0
2011-06-27,100.0,10.0
2011-06-28,100.0,0.0
2011-06-29,90.0,50.0
2011-06-30,80.0,40.0
2011-07-01,70.0,100.0
2011-07-05,60.0,90.0
2011-07-06,50.0,80.0
2011-07-07,40.0,100.0
2011-07-08,30.0,90.0
2011-07-11,20.0,80.0
2011-07-12,100.0,70.0
2011-07-13,90.0,60.0
2011-07-14,80.0,50.0
2011-07-15,70.0,40.0
2011-07-18,100.0,30.0
2011-07-19,90.0,20.0
2011-07-20,80.0,10.0
2011-07-21,70.0,100.0
2011-07-22,60.0,90.0
2011-07-25,50.0,80.0
2011-07-26,40.0,70.0
2011-07-27,30.0,60.0
2011-07-28,20.0,50.0
2011-07-29,10.0,40.0
2011-08-01,0.0,30.0
2011-08-02,0.0,20.0
2011-08-03,100.0,10.0
2011-08-04,100.0,0.0
2011-08-05,100.0,0.0
