date,ADX
2010-01-04,15.4107
2010-01-05,17.3646
2010-01-06,20.0487
2010-01-07,23.6431
2010-01-08,26.878
2010-01-11,30.1991
2010-01-12,32.7193
2010-01-13,35.6114
2010-01-14,38.934
2010-01-15,41.4635
2010-01-19,41.471
2010-01-20,42.5959
2010-01-21,44.2219
2010-01-22,46.8536
2010-01-25,48.5191
2010-01-26,49.1205
2010-01-27,50.0791
2010-01-28,51.127
2010-01-29,52.1884
2010-02-01,53.1437
2010-02-02,53.0632
2010-02-03,50.1598
2010-02-04,45.1969
2010-02-05,41.6956
2010-02-08,38.5444
2010-02-09,36.2011
2010-02-10,33.9993
2010-02-11,32.0177
2010-02-12,31.3652
2010-02-16,28.3876
2010-02-17,25.6645
2010-02-18,23.4875
2010-02-19,22.6043
2010-02-22,23.3991
2010-02-23,23.7713
2010-02-24,24.9805
2010-02-25,23.9877
2010-02-26,23.0941
2010-03-01,22.3737
2010-03-02,22.4798
2010-03-03,22.5753
2010-03-04,22.2218
2010-03-05,23.7241
2010-03-08,25.2829
2010-03-09,23.5812
2010-03-10,23.3731
2010-03-11,24.2703
2010-03-12,26.3333
2010-03-15,27.5296
2010-03-16,29.0296
2010-03-17,30.8335
2010-03-18,31.7733
2010-03-19,33.0087
2010-03-22,34.1206
2010-03-23,35.1213
2010-03-24,36.5269
2010-03-25,38.5205
2010-03-26,40.3148
2010-03-29,38.6819
2010-03-30,37.4863
2010-03-31,35.0507
2010-04-01,34.1347
2010-04-05,34.2096
2010-04-06,36.2318
2010-04-07,38.137
2010-04-08,40.0087
2010-04-09,41.6931
2010-04-12,43.9501
2010-04-13,46.0513
2010-04-14,48.9712
2010-04-15,51.7358
2010-04-16,47.012
2010-04-19,42.7605
2010-04-20,40.8796
2010-04-21,39.2736
2010-04-22,36.5295
2010-04-23,33.6699
2010-04-26,30.32
2010-04-27,29.3106
2010-04-28,28.4022
2010-04-29,26.2611
2010-04-30,24.3341
2010-05-03,22.5998
2010-05-04,21.486
2010-05-05,21.1139
2010-05-06,24.2211
2010-05-07,27.0176
2010-05-10,26.7175
2010-05-11,25.4505
2010-05-12,24.3103
2010-05-13,23.8686
2010-05-14,25.6676
2010-05-17,27.4919
2010-05-18,30.1725
2010-05-19,32.7316
2010-05-20,35.7593
2010-05-21,39.2142
2010-05-24,41.7009
2010-05-25,44.3861
2010-05-26,45.3799
2010-05-27,45.774
2010-05-28,46.1288
2010-06-01,47.1372
2010-06-02,48.1435
2010-06-03,48.707
2010-06-04,49.9138
2010-06-07,51.3372
2010-06-08,52.982
2010-06-09,52.8412
2010-06-10,50.5636
2010-06-11,48.5138
2010-06-14,47.46
2010-06-15,46.5117
2010-06-16,45.3406
2010-06-17,44.2866
2010-06-18,41.6194
2010-06-21,37.7241
2010-06-22,34.5762
2010-06-23,33.4629
2010-06-24,33.4922
2010-06-25,31.7708
2010-06-28,30.2217
2010-06-29,30.2604
2010-06-30,30.7518
2010-07-01,32.1099
2010-07-02,33.5558
2010-07-06,34.8571
2010-07-07,32.887
2010-07-08,29.8554
2010-07-09,28.472
2010-07-12,27.2269
2010-07-13,27.7418
2010-07-14,27.8718
2010-07-15,26.8751
2010-07-16,24.6358
2010-07-19,23.6062
2010-07-20,23.1196
2010-07-21,21.4476
2010-07-22,19.9429
2010-07-23,18.7242
2010-07-26,18.3288
2010-07-27,18.8188
2010-07-28,17.9267
2010-07-29,16.2593
2010-07-30,14.7587
2010-08-02,14.7446
2010-08-03,14.7319
2010-08-04,13.3982
2010-08-05,13.598
2010-08-06,15.1615
2010-08-09,15.5506
2010-08-10,15.9008
2010-08-11,18.1218
2010-08-12,20.82
2010-08-13,22.8649
2010-08-16,25.2878
2010-08-17,25.8997
2010-08-18,26.4504
2010-08-19,28.1772
2010-08-20,30.0081
2010-08-23,30.6946
2010-08-24,32.2303
2010-08-25,34.1706
2010-08-26,34.9385
2010-08-27,34.7797
2010-08-30,35.2189
2010-08-31,36.1946
2010-09-01,33.2985
2010-09-02,30.2296
2010-09-03,29.1175
2010-09-07,27.8891
2010-09-08,26.4231
2010-09-09,26.426
2010-09-10,26.4287
2010-09-13,28.141
2010-09-14,29.3021
2010-09-15,28.2136
2010-09-16,26.9148
2010-09-17,26.4447
2010-09-20,27.0066
2010-09-21,28.0668
2010-09-22,26.9834
2010-09-23,24.4889
2010-09-24,22.21
2010-09-27,20.7053
2010-09-28,20.2855
2010-09-29,19.8629
2010-09-30,19.7931
2010-10-01,19.6761
2010-10-04,19.6923
2010-10-05,18.611
2010-10-06,17.9661
2010-10-07,16.4171
2010-10-08,15.023
2010-10-11,13.7136
2010-10-12,14.298
2010-10-13,15.9072
2010-10-14,15.2263
2010-10-15,15.2432
2010-10-18,16.1014
2010-10-19,16.5828
2010-10-20,17.016
2010-10-21,19.1567
2010-10-22,21.3777
2010-10-25,23.644
2010-10-26,23.7825
2010-10-27,25.3266
2010-10-28,25.7645
2010-10-29,26.1585
2010-11-01,24.4818
2010-11-02,22.9727
2010-11-03,21.0666
2010-11-04,23.3242
2010-11-05,27.1302
2010-11-08,30.5556
2010-11-09,32.0959
2010-11-10,32.2464
2010-11-11,32.3818
2010-11-12,30.337
2010-11-15,29.2246
2010-11-16,27.484
2010-11-17,25.9175
2010-11-18,25.401
2010-11-19,24.2584
2010-11-22,22.0469
2010-11-23,21.0679
2010-11-24,20.5089
2010-11-26,20.1563
2010-11-29,20.8486
2010-11-30,21.0593
2010-12-01,21.2489
2010-12-02,20.5746
2010-12-03,19.9677
2010-12-06,19.145
2010-12-07,17.4246
2010-12-08,15.9465
2010-12-09,17.6106
2010-12-10,20.2948
2010-12-13,22.7105
2010-12-14,23.4691
2010-12-15,23.303
2010-12-16,23.2237
2010-12-17,23.2664
2010-12-20,23.662
2010-12-21,25.5978
2010-12-22,28.3717
2010-12-23,30.8683
2010-12-27,33.4455
2010-12-28,35.9812
2010-12-29,37.2738
2010-12-30,37.6249
2010-12-31,37.9409
2011-01-03,39.2205
2011-01-04,38.0003
2011-01-05,35.4007
2011-01-06,32.1081
2011-01-07,31.1888
2011-01-10,30.3615
2011-01-11,28.03
2011-01-12,25.7573
2011-01-13,25.1875
2011-01-14,25.5327
2011-01-18,26.3786
2011-01-19,24.38
2011-01-20,22.7217
2011-01-21,20.9724
2011-01-24,19.3589
2011-01-25,18.3518
2011-01-26,16.9918
2011-01-27,16.6451
2011-01-28,15.0589
2011-01-31,14.154
2011-02-01,14.4922
2011-02-02,14.7966
2011-02-03,14.7619
2011-02-04,13.7625
2011-02-07,14.8999
2011-02-08,16.5734
2011-02-09,18.0796
2011-02-10,18.0061
2011-02-11,19.6232
2011-02-14,21.5964
2011-02-15,23.6505
2011-02-16,25.7308
2011-02-17,26.9879
2011-02-18,26.7442
2011-02-22,24.449
2011-02-23,24.1262
2011-02-24,23.8357
2011-02-25,22.8462
2011-02-28,21.9556
2011-03-01,23.0404
2011-03-02,24.6842
2011-03-03,23.8164
2011-03-04,23.9569
2011-03-07,24.0834
2011-03-08,21.7881
2011-03-09,19.7845
2011-03-10,18.9874
2011-03-11,19.0732
2011-03-14,20.3501
2011-03-15,22.5329
2011-03-16,24.8184
2011-03-17,27.3473
2011-03-18,26.381
2011-03-21,26.0693
2011-03-22,25.9028
2011-03-23,26.7062
2011-03-24,26.4363
2011-03-25,24.7495
2011-03-28,23.2313
2011-03-29,22.7451
2011-03-30,21.7972
2011-03-31,22.3679
2011-04-01,22.3907
2011-04-04,22.5557
2011-04-05,22.8204
2011-04-06,21.2385
2011-04-07,20.5524
2011-04-08,21.079
2011-04-11,21.5529
2011-04-12,20.9578
2011-04-13,20.5226
2011-04-14,21.5857
2011-04-15,22.1569
2011-04-18,23.8457
2011-04-19,26.8093
2011-04-20,30.0821
2011-04-21,33.0276
2011-04-25,35.2484
2011-04-26,37.3519
2011-04-27,36.0198
2011-04-28,34.8209
2011-04-29,32.5301
2011-05-02,29.4091
2011-05-03,26.6002
2011-05-04,25.072
2011-05-05,25.4129
2011-05-06,25.9706
2011-05-09,26.4725
2011-05-10,24.0474
2011-05-11,23.0003
2011-05-12,22.6973
2011-05-13,22.4246
2011-05-16,22.9878
2011-05-17,21.7822
2011-05-18,19.7388
2011-05-19,18.0942
2011-05-20,18.1912
2011-05-23,19.4968
2011-05-24,20.7385
2011-05-25,22.2027
2011-05-26,23.5737
2011-05-27,21.5938
2011-05-31,20.6558
2011-06-01,20.5513
2011-06-02,20.666
2011-06-03,21.8494
2011-06-06,23.6139
2011-06-07,25.8265
2011-06-08,28.051
2011-06-09,28.2587
2011-06-10,28.8222
2011-06-13,29.3294
2011-06-14,28.0885
2011-06-15,29.5575
2011-06-16,30.092
2011-06-17,29.4105
2011-06-20,28.2879
2011-06-21,26.8143
2011-06-22,25.3056
2011-06-23,26.1248
2011-06-24,26.8621
2011-06-27,25.5166
2011-06-28,23.042
2011-06-29,22.6608
2011-06-30,23.1049
2011-07-01,25.0523
2011-07-05,26.8049
2011-07-06,26.1468
2011-07-07,26.1724
2011-07-08,24.419
2011-07-11,22.4793
2011-07-12,20.2662
2011-07-13,19.3249
2011-07-14,17.8619
2011-07-15,17.1514
2011-07-18,17.4722
2011-07-19,15.7727
2011-07-20,17.484
2011-07-21,20.1365
2011-07-22,22.5237
2011-07-25,23.0979
2011-07-26,23.6147
2011-07-27,22.1828
2011-07-28,20.5714
2011-07-29,19.0001
2011-08-01,18.0308
2011-08-02,18.3103
2011-08-03,19.4999
2011-08-04,21.7373
2011-08-05,24.7238
2011-08-08,29.1558
2011-08-09,33.1447
2011-08-10,36.8538
2011-08-11,40.1921
2011-08-12,41.0033
2011-08-15,41.7334
2011-08-16,42.4052
2011-08-17,43.0098
2011-08-18,45.1562
2011-08-19,47.4317
2011-08-22,49.7483
2011-08-23,50.5393
2011-08-24,48.3878
2011-08-25,43.682
2011-08-26,40.3098
2011-08-29,36.3387
2011-08-30,32.8682
2011-08-31,29.9636
2011-09-01,27.1454
2011-09-02,26.9531
2011-09-06,27.8825
2011-09-07,25.5283
2011-09-08,23.3633
2011-09-09,21.2876
