date,CCI
2010-01-04,20.2271
2010-01-05,127.7154
2010-01-06,194.8187
2010-01-07,228.847
2010-01-08,187.8754
2010-01-11,182.2583
2010-01-12,149.8626
2010-01-13,146.6904
2010-01-14,159.1094
2010-01-15,115.2915
2010-01-19,80.9199
2010-01-20,112.0588
2010-01-21,109.3486
2010-01-22,109.7117
2010-01-25,64.4093
2010-01-26,38.1463
2010-01-27,60.5393
2010-01-28,76.2921
2010-01-29,82.3512
2010-02-01,79.4532
2010-02-02,52.2918
2010-02-03,-30.9915
2010-02-04,-147.3195
2010-02-05,-150.7554
2010-02-08,-169.9352
2010-02-09,-163.8711
2010-02-10,-138.8417
2010-02-11,-128.6516
2010-02-12,-138.9816
2010-02-16,-78.2594
2010-02-17,-65.632
2010-02-18,-48.6005
2010-02-19,-18.23
2010-02-22,36.7948
2010-02-23,23.8252
2010-02-24,60.7683
2010-02-25,25.2153
2010-02-26,50.1927
2010-03-01,62.716
2010-03-02,98.6418
2010-03-03,100.6854
2010-03-04,93.3817
2010-03-05,123.7537
2010-03-08,117.7295
2010-03-09,59.1478
2010-03-10,91.5494
2010-03-11,125.2573
2010-03-12,181.5554
2010-03-15,174.6304
2010-03-16,183.8958
2010-03-17,169.1829
2010-03-18,132.7241
2010-03-19,124.2236
2010-03-22,112.6856
2010-03-23,100.0337
2010-03-24,96.2142
2010-03-25,94.9799
2010-03-26,70.7129
2010-03-29,43.681
2010-03-30,38.6084
2010-03-31,17.5439
2010-04-01,55.9227
2010-04-05,93.7375
2010-04-06,183.3759
2010-04-07,171.5641
2010-04-08,201.44
2010-04-09,191.3353
2010-04-12,202.1983
2010-04-13,170.3644
2010-04-14,203.1925
2010-04-15,179.4694
2010-04-16,82.1465
2010-04-19,71.6076
2010-04-20,109.5122
2010-04-21,99.1687
2010-04-22,41.2316
2010-04-23,22.0103
2010-04-26,-5.7825
2010-04-27,-78.7677
2010-04-28,-64.9917
2010-04-29,4.5375
2010-04-30,-42.4644
2010-05-03,-32.5721
2010-05-04,-116.5133
2010-05-05,-136.9627
2010-05-06,-243.1248
2010-05-07,-200.8669
2010-05-10,-63.1511
2010-05-11,-44.655
2010-05-12,-11.8159
2010-05-13,-40.4015
2010-05-14,-140.8661
2010-05-17,-143.59
2010-05-18,-192.1608
2010-05-19,-191.7381
2010-05-20,-205.7456
2010-05-21,-172.2932
2010-05-24,-126.8594
2010-05-25,-122.672
2010-05-26,-95.4025
2010-05-27,-65.8194
2010-05-28,-64.3219
2010-06-01,-86.119
2010-06-02,-69.1593
2010-06-03,-66.4263
2010-06-04,-102.2887
2010-06-07,-109.051
2010-06-08,-114.8273
2010-06-09,-97.7434
2010-06-10,-41.9699
2010-06-11,-42.9293
2010-06-14,-81.4955
2010-06-15,-68.9712
2010-06-16,-54.817
2010-06-17,-50.194
2010-06-18,8.4518
2010-06-21,63.7389
2010-06-22,53.6207
2010-06-23,-24.1083
2010-06-24,-97.3421
2010-06-25,-8.5235
2010-06-28,-0.7193
2010-06-29,-85.615
2010-06-30,-116.9466
2010-07-01,-163.2519
2010-07-02,-178.0027
2010-07-06,-154.8779
2010-07-07,-61.3062
2010-07-08,25.7442
2010-07-09,111.1871
2010-07-12,119.1406
2010-07-13,186.5234
2010-07-14,136.1517
2010-07-15,122.9815
2010-07-16,28.2548
2010-07-19,-26.8395
2010-07-20,-24.7505
2010-07-21,29.817
2010-07-22,58.9893
2010-07-23,57.947
2010-07-26,85.2123
2010-07-27,111.2115
2010-07-28,74.8104
2010-07-29,51.7792
2010-07-30,45.3879
2010-08-02,102.9102
2010-08-03,92.0838
2010-08-04,45.1996
2010-08-05,-39.0345
2010-08-06,-110.9536
2010-08-09,-59.2939
2010-08-10,-54.6132
2010-08-11,-164.5159
2010-08-12,-184.8585
2010-08-13,-156.4353
2010-08-16,-168.8649
2010-08-17,-130.534
2010-08-18,-105.4671
2010-08-19,-127.6003
2010-08-20,-126.8101
2010-08-23,-108.1182
2010-08-24,-124.6871
2010-08-25,-126.0308
2010-08-26,-116.3321
2010-08-27,-87.6463
2010-08-30,-114.1334
2010-08-31,-125.2538
2010-09-01,-48.9623
2010-09-02,0.8695
2010-09-03,65.0589
2010-09-07,52.3266
2010-09-08,62.086
2010-09-09,111.1149
2010-09-10,97.3024
2010-09-13,170.9539
2010-09-14,139.0892
2010-09-15,77.0534
2010-09-16,64.5623
2010-09-17,77.4919
2010-09-20,96.9315
2010-09-21,84.0888
2010-09-22,37.8569
2010-09-23,-31.143
2010-09-24,-9.3286
2010-09-27,-39.8697
2010-09-28,-93.8479
2010-09-29,-119.0743
2010-09-30,-125.7775
2010-10-01,-109.5443
2010-10-04,-107.0736
2010-10-05,-41.4567
2010-10-06,-2.2886
2010-10-07,-16.5055
2010-10-08,-13.4589
2010-10-11,-7.1857
2010-10-12,64.4876
2010-10-13,100.9465
2010-10-14,35.0083
2010-10-15,41.8395
2010-10-18,130.0664
2010-10-19,107.714
2010-10-20,116.0648
2010-10-21,168.9843
2010-10-22,163.1808
2010-10-25,153.4274
2010-10-26,149.5289
2010-10-27,189.7598
2010-10-28,159.1555
2010-10-29,131.7095
2010-11-01,95.9302
2010-11-02,83.2389
2010-11-03,76.5148
2010-11-04,155.8077
2010-11-05,223.9505
2010-11-08,183.1427
2010-11-09,130.5179
2010-11-10,111.0172
2010-11-11,89.3707
2010-11-12,45.9086
2010-11-15,61.3975
2010-11-16,34.9261
2010-11-17,27.7567
2010-11-18,47.7649
2010-11-19,22.107
2010-11-22,-11.285
2010-11-23,-72.7654
2010-11-24,-80.9484
2010-11-26,-91.9114
2010-11-29,-99.6032
2010-11-30,-105.9821
2010-12-01,-85.1799
2010-12-02,-18.8484
2010-12-03,-0.5843
2010-12-06,-4.183
2010-12-07,-12.1758
2010-12-08,60.2702
2010-12-09,207.3808
2010-12-10,256.9756
2010-12-13,213.0954
2010-12-14,158.5143
2010-12-15,114.2995
2010-12-16,108.3608
2010-12-17,100.9664
2010-12-20,94.9906
2010-12-21,107.5517
2010-12-22,121.6971
2010-12-23,110.8237
2010-12-27,110.5666
2010-12-28,112.6582
2010-12-29,98.0561
2010-12-30,87.931
2010-12-31,83.418
2011-01-03,86.8182
2011-01-04,50.3619
2011-01-05,29.945
2011-01-06,-16.9266
2011-01-07,-84.3441
2011-01-10,-72.5674
2011-01-11,-55.9679
2011-01-12,4.4638
2011-01-13,49.7503
2011-01-14,96.9216
2011-01-18,125.1072
2011-01-19,-29.2678
2011-01-20,-49.0822
2011-01-21,31.434
2011-01-24,-2.4207
2011-01-25,-25.4208
2011-01-26,-1.2972
