date,Aroon Down,Aroon Up
2010-01-04,7.438,55.3719
2010-01-05,6.6116,54.5455
2010-01-06,5.7851,53.719
2010-01-07,4.9587,52.8926
2010-01-08,4.1322,52.0661
2010-01-11,3.3058,51.2397
2010-01-12,2.4793,50.4132
2010-01-13,1.6529,49.5868
2010-01-14,0.8264,48.7603
2010-01-15,0.0,47.9339
2010-01-19,0.0,47.1074
2010-01-20,0.0,46.281
2010-01-21,0.0,45.4545
2010-01-22,0.8264,44.6281
2010-01-25,0.0,43.8017
2010-01-26,0.0,42.9752
2010-01-27,76.8595,42.1488
2010-01-28,76.0331,41.3223
2010-01-29,75.2066,40.4959
2010-02-01,74.3802,39.6694
2010-02-02,73.5537,38.843
2010-02-03,72.7273,38.0165
2010-02-04,71.9008,37.1901
2010-02-05,71.0744,36.3636
2010-02-08,70.2479,35.5372
2010-02-09,69.4215,34.7107
2010-02-10,68.595,33.8843
2010-02-11,67.7686,33.0579
2010-02-12,66.9421,32.2314
2010-02-16,66.1157,31.405
2010-02-17,65.2893,30.5785
2010-02-18,64.4628,29.7521
2010-02-19,63.6364,28.9256
2010-02-22,62.8099,28.0992
2010-02-23,61.9835,27.2727
2010-02-24,61.157,26.4463
2010-02-25,60.3306,25.6198
2010-02-26,59.5041,24.7934
2010-03-01,58.6777,23.9669
2010-03-02,57.8512,23.1405
2010-03-03,57.0248,22.314
2010-03-04,56.1983,21.4876
2010-03-05,55.3719,20.6612
2010-03-08,54.5455,19.8347
2010-03-09,53.719,19.0083
2010-03-10,52.8926,18.1818
2010-03-11,52.0661,17.3554
2010-03-12,51.2397,16.5289
2010-03-15,50.4132,15.7025
2010-03-16,49.5868,14.876
2010-03-17,48.7603,14.0496
2010-03-18,47.9339,13.2231
2010-03-19,47.1074,12.3967
2010-03-22,46.281,11.5702
2010-03-23,45.4545,10.7438
2010-03-24,44.6281,9.9174
2010-03-25,43.8017,100.0
2010-03-26,42.9752,99.1736
2010-03-29,42.1488,98.3471
2010-03-30,41.3223,97.5207
2010-03-31,40.4959,96.6942
2010-04-01,39.6694,95.8678
2010-04-05,38.843,95.0413
2010-04-06,38.0165,100.0
2010-04-07,37.1901,100.0
2010-04-08,36.3636,99.1736
2010-04-09,35.5372,100.0
2010-04-12,34.7107,100.0
2010-04-13,33.8843,99.1736
2010-04-14,33.0579,100.0
2010-04-15,32.2314,100.0
2010-04-16,31.405,99.1736
2010-04-19,30.5785,98.3471
2010-04-20,29.7521,100.0
2010-04-21,28.9256,100.0
2010-04-22,28.0992,99.1736
2010-04-23,27.2727,98.3471
2010-04-26,26.4463,97.5207
2010-04-27,25.6198,96.6942
2010-04-28,24.7934,95.8678
2010-04-29,23.9669,95.0413
2010-04-30,23.1405,94.2149
2010-05-03,22.314,93.3884
2010-05-04,21.4876,92.562
2010-05-05,20.6612,91.7355
2010-05-06,19.8347,90.9091
2010-05-07,19.0083,90.0826
2010-05-10,18.1818,89.2562
2010-05-11,17.3554,88.4298
2010-05-12,16.5289,87.6033
2010-05-13,15.7025,86.7769
2010-05-14,14.876,85.9504
2010-05-17,14.0496,85.124
2010-05-18,13.2231,84.2975
2010-05-19,12.3967,83.4711
2010-05-20,11.5702,82.6446
2010-05-21,10.7438,81.8182
2010-05-24,9.9174,80.9917
2010-05-25,9.0909,80.1653
2010-05-26,8.2645,79.3388
2010-05-27,7.438,78.5124
2010-05-28,6.6116,77.686
2010-06-01,5.7851,76.8595
2010-06-02,4.9587,76.0331
2010-06-03,4.1322,75.2066
