date,CCI
2010-01-04,-10.7622
2010-01-05,24.69
2010-01-06,36.9525
2010-01-07,80.0901
2010-01-08,85.6103
2010-01-11,79.3449
2010-01-12,29.5148
2010-01-13,49.1948
2010-01-14,81.0024
2010-01-15,40.3815
2010-01-19,27.8966
2010-01-20,22.0764
2010-01-21,8.9397
2010-01-22,-13.0588
2010-01-25,-13.7939
2010-01-26,-31.6439
2010-01-27,-5.5529
2010-01-28,35.9652
2010-01-29,62.2691
2010-02-01,76.2541
2010-02-02,82.4578
2010-02-03,33.3648
2010-02-04,-37.7715
2010-02-05,-47.7814
2010-02-08,-85.2634
2010-02-09,-86.0974
2010-02-10,-59.5355
2010-02-11,-66.9458
2010-02-12,-82.7891
2010-02-16,-47.8812
2010-02-17,-38.8507
2010-02-18,-38.3894
2010-02-19,-42.0605
2010-02-22,-0.9885
2010-02-23,-28.2332
2010-02-24,-24.8728
2010-02-25,-42.2016
2010-02-26,-48.1896
2010-03-01,-40.5467
2010-03-02,-5.7597
2010-03-03,23.581
2010-03-04,39.342
2010-03-05,84.2825
2010-03-08,85.0352
2010-03-09,73.6001
2010-03-10,118.8914
2010-03-11,124.6591
2010-03-12,130.8385
2010-03-15,128.3245
2010-03-16,157.1026
2010-03-17,181.8163
2010-03-18,160.3179
2010-03-19,160.7182
2010-03-22,160.3174
2010-03-23,190.4895
2010-03-24,190.2295
2010-03-25,207.9899
2010-03-26,202.2223
2010-03-29,185.7475
2010-03-30,169.762
2010-03-31,163.8018
2010-04-01,183.6731
2010-04-05,187.0514
2010-04-06,209.5732
2010-04-07,209.2817
2010-04-08,203.9273
2010-04-09,213.3445
2010-04-12,220.0188
2010-04-13,193.6673
2010-04-14,238.1028
2010-04-15,255.3159
2010-04-16,198.6537
2010-04-19,207.5193
2010-04-20,233.3118
2010-04-21,211.8042
2010-04-22,204.4826
2010-04-23,205.0056
2010-04-26,174.6959
2010-04-27,138.9698
2010-04-28,143.1305
2010-04-29,167.5956
2010-04-30,169.1393
2010-05-03,178.9195
2010-05-04,154.4609
2010-05-05,126.3758
2010-05-06,73.6374
2010-05-07,66.8028
2010-05-10,126.451
2010-05-11,131.6981
2010-05-12,144.4372
2010-05-13,134.6133
2010-05-14,96.6287
2010-05-17,80.7227
2010-05-18,57.9488
2010-05-19,17.1939
2010-05-20,-5.3557
2010-05-21,6.07
2010-05-24,-10.0394
2010-05-25,-28.8151
2010-05-26,-30.7359
2010-05-27,-6.4792
2010-05-28,-14.195
2010-06-01,-26.7673
2010-06-02,-15.7554
2010-06-03,-14.9122
2010-06-04,-48.7599
2010-06-07,-63.29
2010-06-08,-69.2245
2010-06-09,-74.0451
2010-06-10,-53.7841
2010-06-11,-61.8803
2010-06-14,-68.05
2010-06-15,-60.9313
2010-06-16,-53.1462
2010-06-17,-58.1199
2010-06-18,-54.06
2010-06-21,-52.3221
2010-06-22,-64.7271
2010-06-23,-76.8592
2010-06-24,-100.5335
2010-06-25,-85.5623
2010-06-28,-89.279
2010-06-29,-121.4153
2010-06-30,-129.3107
2010-07-01,-148.0729
2010-07-02,-149.5557
2010-07-06,-143.7276
2010-07-07,-109.1892
2010-07-08,-93.8921
2010-07-09,-85.574
2010-07-12,-81.389
2010-07-13,-52.7649
2010-07-14,-59.6658
2010-07-15,-56.2857
2010-07-16,-89.8664
2010-07-19,-108.7683
2010-07-20,-117.5335
2010-07-21,-89.8505
2010-07-22,-69.9181
2010-07-23,-63.4977
2010-07-26,-51.3772
2010-07-27,-26.3726
2010-07-28,-35.5999
2010-07-29,-44.9737
2010-07-30,-52.4749
2010-08-02,-30.429
2010-08-03,-36.8666
2010-08-04,-44.4195
2010-08-05,-49.9325
2010-08-06,-57.2073
2010-08-09,-43.8861
2010-08-10,-51.3496
2010-08-11,-87.9071
2010-08-12,-105.4686
2010-08-13,-107.6385
2010-08-16,-115.4837
2010-08-17,-120.0082
2010-08-18,-123.1552
2010-08-19,-143.1691
2010-08-20,-146.0896
2010-08-23,-146.5108
2010-08-24,-164.2147
2010-08-25,-169.9744
2010-08-26,-158.7936
2010-08-27,-150.3634
2010-08-30,-156.1376
2010-08-31,-154.255
2010-09-01,-124.5667
2010-09-02,-107.2828
2010-09-03,-81.0126
2010-09-07,-97.9243
2010-09-08,-95.1502
2010-09-09,-82.4947
2010-09-10,-77.2085
2010-09-13,-57.1477
2010-09-14,-67.5328
2010-09-15,-65.6989
2010-09-16,-66.229
2010-09-17,-65.3393
2010-09-20,-56.5989
2010-09-21,-51.3308
2010-09-22,-65.4655
2010-09-23,-85.4298
2010-09-24,-76.2654
2010-09-27,-72.7751
2010-09-28,-77.8279
2010-09-29,-86.741
2010-09-30,-81.7542
2010-10-01,-75.1618
2010-10-04,-74.2192
2010-10-05,-57.281
2010-10-06,-47.077
2010-10-07,-51.5207
2010-10-08,-56.0266
2010-10-11,-62.8943
2010-10-12,-60.8233
2010-10-13,-54.681
2010-10-14,-92.6608
2010-10-15,-120.4488
2010-10-18,-102.2901
2010-10-19,-90.9315
2010-10-20,-71.9977
2010-10-21,-64.0014
2010-10-22,-39.7899
2010-10-25,-44.5881
2010-10-26,-47.3567
2010-10-27,-46.8408
2010-10-28,-43.6018
2010-10-29,-37.3547
2010-11-01,-39.5555
2010-11-02,-35.4793
2010-11-03,-19.7656
2010-11-04,33.2201
2010-11-05,116.744
2010-11-08,132.3241
2010-11-09,105.8021
2010-11-10,103.0415
2010-11-11,98.2136
2010-11-12,66.6271
2010-11-15,75.7462
2010-11-16,43.2992
2010-11-17,32.9816
2010-11-18,59.2318
2010-11-19,56.3831
2010-11-22,37.2269
2010-11-23,22.4099
2010-11-24,38.0027
2010-11-26,27.1331
2010-11-29,40.1416
2010-11-30,49.2308
2010-12-01,71.3942
2010-12-02,125.2244
2010-12-03,150.6828
2010-12-06,150.6955
2010-12-07,140.707
2010-12-08,160.8869
2010-12-09,205.7351
2010-12-10,226.7434
2010-12-13,217.3635
2010-12-14,193.8529
2010-12-15,183.4926
2010-12-16,187.5535
2010-12-17,179.3256
2010-12-20,179.1302
2010-12-21,198.7446
2010-12-22,224.3986
2010-12-23,208.2958
2010-12-27,203.7211
2010-12-28,199.4776
2010-12-29,189.5166
2010-12-30,174.2587
2010-12-31,169.4201
2011-01-03,188.5973
2011-01-04,192.162
2011-01-05,201.8388
2011-01-06,200.6773
2011-01-07,165.1001
2011-01-10,151.4791
2011-01-11,153.3573
2011-01-12,168.0711
2011-01-13,162.3319
2011-01-14,176.0767
2011-01-18,173.3588
2011-01-19,154.7108
2011-01-20,147.1787
2011-01-21,157.1329
2011-01-24,159.1297
2011-01-25,150.3316
2011-01-26,149.034
2011-01-27,139.4047
2011-01-28,129.0563
2011-01-31,127.8645
2011-02-01,149.6291
2011-02-02,138.4527
2011-02-03,130.9372
2011-02-04,125.9107
2011-02-07,138.0344
2011-02-08,149.0704
2011-02-09,128.7887
2011-02-10,123.132
2011-02-11,129.657
2011-02-14,136.7341
2011-02-15,133.3817
2011-02-16,115.642
2011-02-17,109.225
2011-02-18,99.4208
2011-02-22,71.2519
2011-02-23,63.7531
2011-02-24,62.5185
2011-02-25,89.242
2011-02-28,84.2273
2011-03-01,72.5402
2011-03-02,51.8236
2011-03-03,79.8898
2011-03-04,70.1169
2011-03-07,67.8188
2011-03-08,78.4656
2011-03-09,84.2303
2011-03-10,71.8661
2011-03-11,71.9891
2011-03-14,64.9847
2011-03-15,61.5346
2011-03-16,51.7404
2011-03-17,42.3382
2011-03-18,59.6006
2011-03-21,56.7966
2011-03-22,49.7762
2011-03-23,40.4139
2011-03-24,42.485
2011-03-25,53.7847
2011-03-28,50.2904
2011-03-29,42.2603
2011-03-30,52.0528
2011-03-31,46.0641
2011-04-01,55.9492
2011-04-04,48.3794
2011-04-05,51.7704
2011-04-06,60.2802
2011-04-07,60.0439
2011-04-08,47.6941
2011-04-11,33.7208
2011-04-12,28.6891
2011-04-13,14.1794
2011-04-14,-11.4239
2011-04-15,-20.3989
2011-04-18,-40.1434
2011-04-19,-28.9017
2011-04-20,-73.6562
2011-04-21,-83.607
2011-04-25,-86.7077
2011-04-26,-84.2502
2011-04-27,-68.9726
2011-04-28,-68.0553
2011-04-29,-72.8505
2011-05-02,-74.5217
2011-05-03,-68.1808
2011-05-04,-80.2982
2011-05-05,-114.7065
2011-05-06,-111.1633
2011-05-09,-115.1785
2011-05-10,-105.993
2011-05-11,-115.9971
2011-05-12,-126.1462
2011-05-13,-127.3639
2011-05-16,-131.139
2011-05-17,-113.5841
2011-05-18,-99.7219
2011-05-19,-104.2665
2011-05-20,-130.8008
2011-05-23,-156.5815
2011-05-24,-161.0227
2011-05-25,-158.6831
2011-05-26,-156.9081
2011-05-27,-134.0355
2011-05-31,-122.7149
2011-06-01,-164.2538
2011-06-02,-181.2999
2011-06-03,-177.6659
2011-06-06,-196.2125
2011-06-07,-203.4821
2011-06-08,-213.5981
2011-06-09,-191.799
2011-06-10,-178.8219
2011-06-13,-150.3807
2011-06-14,-131.9285
2011-06-15,-153.337
2011-06-16,-140.6905
2011-06-17,-116.2309
2011-06-20,-123.0031
2011-06-21,-109.4827
2011-06-22,-100.0548
2011-06-23,-116.4429
2011-06-24,-107.9567
2011-06-27,-95.8078
2011-06-28,-93.0316
2011-06-29,-77.2307
2011-06-30,-70.6652
2011-07-01,-57.3389
2011-07-05,-59.6907
2011-07-06,-70.2312
2011-07-07,-45.9185
2011-07-08,-59.7763
2011-07-11,-76.3594
2011-07-12,-79.0891
2011-07-13,-73.24
2011-07-14,-80.1143
2011-07-15,-85.5638
2011-07-18,-95.9278
2011-07-19,-56.6498
2011-07-20,-32.5066
2011-07-21,-16.8847
2011-07-22,-19.5417
2011-07-25,-29.1688
2011-07-26,-24.2218
2011-07-27,-33.1442
2011-07-28,-39.211
2011-07-29,-51.9949
2011-08-01,-55.5836
2011-08-02,-73.8963
2011-08-03,-80.7818
2011-08-04,-114.7746
2011-08-05,-136.9229
2011-08-08,-196.3455
2011-08-09,-183.554
2011-08-10,-210.9602
2011-08-11,-180.3795
2011-08-12,-165.4298
2011-08-15,-145.9747
2011-08-16,-153.4371
2011-08-17,-140.4402
2011-08-18,-175.474
2011-08-19,-187.8231
2011-08-22,-190.6024
2011-08-23,-178.4671
2011-08-24,-146.8631
2011-08-25,-121.9583
2011-08-26,-140.7403
2011-08-29,-109.132
2011-08-30,-104.9282
2011-08-31,-81.9113
2011-09-01,-94.6518
