date,WILLR
2010-01-04,-6.8273
2010-01-05,-5.2469
2010-01-06,-6.6066
2010-01-07,-6.772
2010-01-08,-12.8668
2010-01-11,-14.2212
2010-01-12,-30.474
2010-01-13,-19.1874
2010-01-14,-11.3695
2010-01-15,-35.4331
2010-01-19,-35.3574
2010-01-20,-53.8462
2010-01-21,-47.8261
2010-01-22,-72.5753
2010-01-25,-59.1973
2010-01-26,-81.6054
2010-01-27,-41.1371
2010-01-28,-32.7759
2010-01-29,-36.4964
2010-02-01,-19.1571
2010-02-02,-19.6078
2010-02-03,-50.5882
2010-02-04,-92.9412
2010-02-05,-70.696
2010-02-08,-98.9324
2010-02-09,-88.0282
2010-02-10,-71.4789
2010-02-11,-75.0
2010-02-12,-81.7857
2010-02-16,-63.5714
2010-02-17,-65.7143
2010-02-18,-65.3571
2010-02-19,-64.2857
2010-02-22,-41.4286
2010-02-23,-67.1429
2010-02-24,-53.9286
2010-02-25,-61.7857
2010-02-26,-65.3571
2010-03-01,-63.9706
2010-03-02,-41.4062
2010-03-03,-24.0664
2010-03-04,-6.3636
2010-03-05,-4.1379
2010-03-08,-15.4362
2010-03-09,-12.4161
2010-03-10,-7.7381
2010-03-11,-2.0833
2010-03-12,-8.9337
2010-03-15,-1.6611
2010-03-16,-1.1799
2010-03-17,-3.2086
2010-03-18,-10.1604
2010-03-19,-7.754
2010-03-22,-6.9519
2010-03-23,-0.9547
2010-03-24,-9.6552
2010-03-25,-18.3794
2010-03-26,-15.9091
2010-03-29,-19.2641
2010-03-30,-28.3951
2010-03-31,-23.0159
2010-04-01,-17.6136
2010-04-05,-13.6364
2010-04-06,-2.8061
2010-04-07,-14.7493
2010-04-08,-8.0
2010-04-09,-10.3245
2010-04-12,-8.1395
2010-04-13,-18.5811
2010-04-14,-3.9216
2010-04-15,-9.4059
2010-04-16,-33.8422
2010-04-19,-22.6562
2010-04-20,-5.698
2010-04-21,-33.7875
2010-04-22,-18.2561
2010-04-23,-20.9809
2010-04-26,-41.6894
2010-04-27,-68.9373
2010-04-28,-49.0463
2010-04-29,-32.6923
2010-04-30,-38.1271
