date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2010-01-04,50.41,50.6,49.14,49.27,35.1116,1973600.0,0.0,1.0
2010-01-05,48.59,49.06,47.69,48.16,34.3206,2708000.0,0.0,1.0
2010-01-06,48.12,48.41,47.48,47.5,33.8502,4837100.0,0.0,1.0
2010-01-07,47.76,47.95,47.32,47.77,34.0426,4329500.0,0.0,1.0
2010-01-08,47.68,47.87,47.32,47.5,33.8502,2336500.0,0.0,1.0
2010-01-11,47.7,48.09,47.1,48.01,34.2137,2407400.0,0.0,1.0
2010-01-12,48.19,48.36,47.64,48.11,34.2849,2906400.0,0.0,1.0
2010-01-13,48.15,48.5,48.09,48.27,34.399,2253900.0,0.0,1.0
2010-01-14,48.09,48.81,48.05,48.73,34.7268,1356500.0,0.0,1.0
2010-01-15,48.49,48.51,47.92,48.21,34.3562,2901700.0,0.0,1.0
2010-01-19,48.0,48.95,48.0,48.82,34.7909,2794800.0,0.0,1.0
2010-01-20,48.39,48.75,48.15,48.74,34.7339,2086500.0,0.0,1.0
2010-01-21,48.73,48.74,47.74,48.41,34.4987,3732500.0,0.0,1.0
2010-01-22,48.33,48.62,47.81,47.89,34.1282,3766300.0,0.0,1.0
2010-01-25,48.32,48.6,47.99,48.44,34.5201,2131600.0,0.0,1.0
2010-01-26,48.49,49.44,48.45,48.55,34.5985,3430900.0,0.0,1.0
2010-01-27,48.43,48.97,48.23,48.96,34.8907,3219400.0,0.0,1.0
2010-01-28,49.0,49.14,48.48,48.83,34.798,3181500.0,0.0,1.0
2010-01-29,48.82,49.65,48.56,49.27,35.1116,4906400.0,0.0,1.0
2010-02-01,49.36,49.39,48.86,49.02,34.9334,3506900.0,0.0,1.0
2010-02-02,49.21,49.65,48.56,49.56,35.3183,2813500.0,0.0,1.0
2010-02-03,50.31,50.34,49.22,49.66,35.3895,2931900.0,0.0,1.0
2010-02-04,49.11,49.87,47.93,48.13,34.2992,3879100.0,0.0,1.0
2010-02-05,48.34,48.88,47.36,48.33,34.4417,3042300.0,0.0,1.0
2010-02-08,48.72,48.81,48.16,48.31,34.4275,2946900.0,0.0,1.0
2010-02-09,48.77,48.99,48.39,48.7,34.7054,2880300.0,0.0,1.0
2010-02-10,48.65,48.94,48.35,48.79,34.7695,2235100.0,0.0,1.0
2010-02-11,48.79,49.0,48.27,48.78,34.7624,3332700.0,0.0,1.0
2010-02-12,48.35,48.84,48.02,48.81,34.7838,3608400.0,0.0,1.0
2010-02-16,49.2,49.5,48.23,49.49,35.2684,3127600.0,0.0,1.0
2010-02-17,49.4,49.88,49.29,49.75,35.4537,2268200.0,0.0,1.0
2010-02-18,49.04,50.63,49.04,50.32,35.8599,2800600.0,0.0,1.0
2010-02-19,49.87,50.62,49.63,50.39,35.9097,3403600.0,0.0,1.0
2010-02-22,50.33,50.82,50.25,50.7,36.1307,2958000.0,0.0,1.0
2010-02-23,50.52,50.71,50.28,50.29,35.8385,2511900.0,0.0,1.0
2010-02-24,50.02,50.39,49.85,50.33,35.867,2116000.0,0.0,1.0
2010-02-25,50.0,50.42,49.9,50.37,35.8955,3007500.0,0.0,1.0
2010-02-26,50.52,50.57,49.85,49.99,35.6247,4055600.0,0.0,1.0
2010-03-01,50.02,50.5,49.99,50.43,35.9383,2898500.0,0.0,1.0
2010-03-02,50.5,50.54,50.26,50.35,35.8812,2049300.0,0.0,1.0
2010-03-03,50.38,50.81,50.02,50.55,36.0238,1840500.0,0.0,1.0
2010-03-04,50.39,50.99,50.17,50.85,36.2376,1580500.0,0.0,1.0
2010-03-05,50.92,51.54,50.6,51.49,36.6936,2047300.0,0.0,1.0
2010-03-08,51.45,52.01,51.39,51.82,36.9288,1569000.0,0.0,1.0
2010-03-09,51.53,51.55,50.23,50.43,35.9383,1920100.0,0.0,1.0
2010-03-10,50.63,50.63,49.68,49.94,35.5891,3460500.0,0.0,1.0
2010-03-11,49.7,50.34,49.5,50.24,35.8029,1770400.0,0.0,1.0
2010-03-12,50.52,50.55,50.07,50.2,35.7743,2871600.0,0.0,1.0
2010-03-15,50.09,50.89,49.91,50.81,36.2091,4077600.0,0.0,1.0
2010-03-16,50.9,51.27,50.58,51.26,36.5297,3200700.0,0.0,1.0
2010-03-17,51.46,52.03,51.3,51.5,36.9644,2730600.0,0.37,1.0
2010-03-18,51.37,51.61,50.95,51.52,36.9788,2716200.0,0.0,1.0
2010-03-19,52.05,52.73,51.69,52.7,37.8258,5789200.0,0.0,1.0
2010-03-22,52.41,52.55,51.98,52.43,37.632,2706700.0,0.0,1.0
2010-03-23,52.52,52.8,52.11,52.79,37.8904,1648900.0,0.0,1.0
2010-03-24,52.66,53.28,52.52,52.88,37.955,1590400.0,0.0,1.0
2010-03-25,53.1,53.2,52.65,52.67,37.8042,1894700.0,0.0,1.0
2010-03-26,52.68,53.31,52.53,52.76,37.8688,1778200.0,0.0,1.0
2010-03-29,52.63,52.85,52.39,52.69,38.0411,1599300.0,0.31,1.0
2010-03-30,52.78,52.79,52.58,52.61,37.9833,1827200.0,0.0,1.0
2010-03-31,52.59,52.6,52.21,52.3,37.7595,2043500.0,0.0,1.0
2010-04-01,52.44,52.82,52.44,52.82,38.1349,1592700.0,0.0,1.0
2010-04-05,52.83,53.05,52.44,52.56,37.9472,2311000.0,0.0,1.0
2010-04-06,52.65,52.91,52.39,52.73,38.07,2847900.0,0.0,1.0
2010-04-07,52.53,53.66,52.32,53.56,38.6692,3552500.0,0.0,1.0
2010-04-08,53.31,53.45,53.0,53.3,38.4815,1960400.0,0.0,1.0
2010-04-09,53.55,53.71,53.22,53.44,38.5826,1595300.0,0.0,1.0
2010-04-12,53.32,53.4,52.88,53.05,38.301,1917200.0,0.0,1.0
2010-04-13,52.89,53.51,52.89,53.4,38.5537,1642100.0,0.0,1.0
2010-04-14,53.64,53.9,53.46,53.89,38.9075,2211900.0,0.0,1.0
2010-04-15,53.6,53.62,53.22,53.35,38.5176,2205300.0,0.0,1.0
2010-04-16,53.31,53.69,52.5,52.62,37.9905,3353400.0,0.0,1.0
2010-04-19,52.22,52.54,52.07,52.42,37.8461,2852800.0,0.0,1.0
2010-04-20,52.43,52.72,51.92,52.71,38.0555,1376300.0,0.0,1.0
2010-04-21,52.85,52.85,52.16,52.45,37.8678,1962100.0,0.0,1.0
2010-04-22,52.08,52.39,51.74,52.2,37.6873,2302800.0,0.0,1.0
2010-04-23,52.24,53.14,51.8,53.13,38.3588,4384700.0,0.0,1.0
2010-04-26,53.19,53.21,52.63,52.65,38.0122,2802500.0,0.0,1.0
2010-04-27,52.56,52.69,51.97,52.4,37.8317,3547400.0,0.0,1.0
2010-04-28,53.43,53.85,52.95,53.65,38.7342,2991300.0,0.0,1.0
2010-04-29,52.4,54.17,52.4,53.14,38.366,2730800.0,0.0,1.0
2010-04-30,53.07,53.35,52.57,53.19,38.4021,2330500.0,0.0,1.0
